id,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
4,Hermosillo,Sonora Norte,LAF,3,5 o más,No,iOS,Mac,14/02/02,Hombre,175,66,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",60,Regular,300,5,5,4
30,Chihuahua,Chihuahua,IBT,0,3,Si,Android,Windows,24/01/02,Mujer,168,70,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",40,Bien,30,5,5,5
14,Monterrey,Monterrey,LDI,0,3,Si,iOS,Windows,01/03/99,Hombre,175,52,a veces cada mes,Palomitas de cine,Caramelo,20,Bien,15,5,4,4
46,Ciudad de México ,Ciudad de Mexico,LAF,0,3,Si,iOS,Mac,31/07/01,Hombre,177,86,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",30,Bien,15,5,5,3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
