"","folio","...1","X","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","a_15plus","POBTOT","P60","hoteles","ingpc2015","est_trs"
"65",5002,1886,32,2020,63,14,130,"priv",53,14,0,0,0,1,0.357142857142857,0.642857142857143,0,163058,0.072366887855855,20,27936.3487546729,0
"66",5003,1887,33,2020,17,4,22,"pub",14,4,0,0,0,1,1,0,0,23056,0.120142262317835,5,33610.253689168,0
"67",5003,34,34,2018,17,4,25,"pub",14,4,0,0,0,1,1,0,0,22979,0.115583793898777,5,33610.253689168,0
"68",5004,1888,34,2020,26,6,19.643,"priv",5,6,0,0,0,1,1,0,0,29578,0.112651294881331,0,24553.6347186014,0
"69",5004,35,35,2018,16,6,30,"priv",3,6,0,0,0,1,0.333333333333333,0.5,0.166666666666667,28168,0.111971030957114,0,24553.6347186014,0
"70",5005,1889,35,2020,9,1,1.05,"pub",0,1,0,0,0,1,0,1,1,1643,0.181984175289105,0,23416.7798742138,0
"71",5006,36,36,2018,7,3,21,"pub",3,0,3,0,0,1,0,1,0,28484,0.112589523943266,0,27033.2523993519,0
"72",5006,1890,36,2020,10,4,18.754,"pub",4,4,0,0,0,1,0.25,0.75,0,29128,0.117275473770942,0,27033.2523993519,0
"73",5007,37,37,2018,39,3,9,"pub",34,2,1,0,0,1,0.666666666666667,0.333333333333333,0.333333333333333,12773,0.12776951381821,10,24343.0108724953,0
"74",5007,1891,37,2020,28,3,14,"pub",0,2,0,1,0,1,0,1,0.333333333333333,12715,0.131183641368462,10,24343.0108724953,0
"75",5009,1892,38,2020,49,8,45,"pub",30,8,0,0,0,1,0.125,0.5,0.5,59035,0.110476835775387,14,19874.8188772807,0
"76",5009,38,38,2018,57,8,27,"pub",37,0,8,0,0,1,0.25,0.75,0.75,58364,0.106435473922281,14,19874.8188772807,0
"77",5010,1893,39,2020,112,17,87.933,"pub",89,13,0,4,0,1,0.411764705882353,0.529411764705882,0.588235294117647,82409,0.112681867271779,9,32149.620932573,0
"78",5010,39,39,2018,112,18,86,"pub",89,14,0,4,0,1,0.0625,0.9375,0,80967,0.107241221732311,9,32149.620932573,0
"79",5011,40,40,2018,4,1,5,"pub",3,1,0,0,0,1,1,0,0,11858,0.147748355540563,0,18565.3390036452,0
"80",5011,1894,40,2020,4,1,2.352,"pub",3,1,0,0,0,1,1,0,0,11898,0.149689023365271,0,18565.3390036452,0
"81",5014,1895,41,2020,7,2,1.6,"pub",6,0,0,2,0,1,0,0.5,1,9502,0.122395285203115,0,23934.8679245283,0
"82",5014,42,42,2018,7,2,1,"pub",6,0,0,2,0,1,0,1,1,9591,0.11854863934939,0,23934.8679245283,0
"83",5015,43,43,2018,15,3,1,"pub",0,0,2,1,0,1,0.666666666666667,0,0.333333333333333,1583,0.140240050536955,0,23219.9710144928,0
"84",5015,1896,42,2020,15,2,1,"pub",0,1,0,1,0,1,1,0,0,1584,0.142045454545455,0,23219.9710144928,0
"85",5016,44,44,2018,8,1,1,"pub",0,0,0,1,0,1,0,1,1,1779,0.187745924676785,0,24635.4754098361,0
"86",5017,45,45,2018,54,6,30,"mixed",34,5,0,1,0,2,0,0.5,1,116104,0.105681113484462,6,21751.5768820821,0
"87",5017,1897,43,2020,26,4,38.284,"mixed",23,4,0,0,0,2,0.75,0.25,0,118337,0.109847300506181,6,21751.5768820821,0
"88",5018,1898,44,2020,215,36,188.5,"pub",143,30,0,6,0,1,0.611111111111111,0.388888888888889,0,237951,0.129762009825552,28,43079.1124301015,0
"89",5018,46,46,2018,215,36,187,"pub",143,17,13,6,0,1,0.583333333333333,0.416666666666667,0,233598,0.122462521083228,28,43079.1124301015,0
"90",5019,47,47,2018,24,2,11,"pub",0,0,2,0,0,1,0.5,0.5,0.5,7983,0.122134535888764,4,29681.047926915,0
"91",5019,1899,45,2020,6,2,11,"pub",0,2,0,0,0,1,0,0,1,7928,0.128279515640767,4,29681.047926915,0
"92",5020,48,48,2018,7,13,73,"pub",0,9,0,4,0,1,0.230769230769231,0.615384615384615,0.461538461538462,70666,0.126142699459429,12,25427.665374162,0
"93",5021,1900,46,2020,3,1,4,"pub",1,1,0,0,0,1,0,1,1,6539,0.141000152928582,0,26505.5340683174,0
"94",5021,49,49,2018,4,2,1,"pub",0,0,2,0,0,1,0.5,0.5,0,6495,0.137028483448807,0,26505.5340683174,0
"95",5022,1901,47,2020,49,10,33.548,"mixed",30,3,0,0,7,2,0.4,0.1,0.5,33129,0.0968335899061245,3,28389.5553505535,0
"96",5022,50,50,2018,161,10,20,"mixed",25,0,6,4,0,2,0.1,0.6,0.9,32088,0.0919346796310147,3,28389.5553505535,0
"97",5023,1902,48,2020,17,2,2,"pub",9,0,0,2,0,1,0,0.5,1,9642,0.123107239162,0,25937.2796391753,0
"98",5023,51,51,2018,17,2,3,"pub",3,2,0,0,0,1,0,0,1,9911,0.117848854807789,0,25937.2796391753,0
"99",5024,52,52,2018,36,5,40,"pub",33,5,0,0,0,1,1,0,0,44657,0.128244172246232,21,22030.3351984521,0
"100",5024,1903,49,2020,36,5,40,"pub",33,5,0,0,0,1,0.8,0.2,0,44472,0.133837021046951,21,22030.3351984521,0
"101",5025,1904,50,2020,89,15,160.25,"priv",0,13,0,1,1,1,0.933333333333333,0.0666666666666667,0,176327,0.0966386316332723,25,30873.4264612727,0
"102",5025,53,53,2018,106,13,120,"priv",0,13,0,0,0,1,1,0,0,171622,0.0925405833750918,25,30873.4264612727,0
"103",5026,1905,51,2020,3,1,1.143,"pub",0,1,0,0,0,1,1,0,0,3239,0.15405989502933,0,21711.3987034036,0
"104",5027,1906,52,2020,47,13,90,"pub",19,12,0,1,0,1,1,0,0,122243,0.0607151329728492,11,41881.3158208386,0
"105",5027,54,54,2018,51,12,60,"pub",21,10,1,1,0,1,1,0,0,112885,0.0602117198919254,11,41881.3158208386,0
"106",5028,1907,53,2020,42,7,80,"pub",0,7,0,0,0,1,0.571428571428571,0.428571428571429,0.142857142857143,64811,0.125719399484655,14,34582.8605488079,0
"107",5028,55,55,2018,42,6,80,"pub",0,6,0,0,0,1,0.833333333333333,0.166666666666667,0,64015,0.120659220495196,14,34582.8605488079,0
"108",5029,1908,54,2020,6,1,1,"pub",0,1,0,0,0,1,0,1,0,2471,0.132739781464994,0,28315.6268221574,0
"109",5030,56,56,2018,284,58,750,"pub",245,58,0,0,0,1,0.672413793103448,0.327586206896552,0.0172413793103448,848995,0.0973492187822072,62,39211.0970403917,0
"110",5030,1909,55,2020,281,47,750,"pub",245,47,0,0,0,1,0.872340425531915,0.127659574468085,0.0212765957446809,879958,0.101655988126706,62,39211.0970403917,0
"111",5031,57,57,2018,26,5,20,"pub",6,0,4,1,0,1,0.6,0.2,0.2,24237,0.131369393901886,5,31319.2649492584,0
"112",5031,1910,56,2020,18,7,14.56,"pub",3,5,2,0,0,1,0.428571428571429,0.428571428571429,0.285714285714286,24759,0.137566137566138,5,31319.2649492584,0
"113",5032,1911,57,2020,68,10,55,"pub",46,2,0,8,0,1,0.2,0.8,0.5,42260,0.163913866540464,5,29569.2422110553,0
"114",5032,58,58,2018,72,9,45,"pub",34,3,1,5,0,1,0.444444444444444,0.444444444444444,0.222222222222222,42137,0.156821795571588,5,29569.2422110553,0
"115",5033,1912,58,2020,53,8,100,"pub",49,5,1,2,0,1,0.5,0.5,0,101041,0.12610722380024,9,17183.4964133,0
"116",5033,59,59,2018,68,10,144,"pub",48,0,4,6,0,1,0.4,0.5,0.3,101362,0.121199265997119,9,17183.4964133,0
"117",5034,60,60,2018,7,1,7,"pub",1,0,0,1,0,1,0,1,0,6671,0.0821466047069405,6,30626.8104163211,0
"118",5034,1913,59,2020,7,1,7,"pub",0,0,0,1,0,1,0,1,0,6744,0.0834816132858837,6,30626.8104163211,0
"119",5035,61,61,2018,501,62,620,"priv",483,47,3,12,0,1,0.838709677419355,0.129032258064516,0.032258064516129,704605,0.115290127092484,83,35138.1359350808,0
"120",5035,1914,60,2020,609,60,598.834,"priv",559,45,3,10,2,1,0.883333333333333,0.116666666666667,0,720848,0.121444465407409,83,35138.1359350808,0
"121",5036,62,62,2018,10,2,6,"pub",8,2,0,0,0,1,0,1,0.5,20511,0.121788308712398,0,15037.0274825944,0
"122",5036,1915,61,2020,6,1,8,"pub",0,1,0,0,0,1,0,1,0,20305,0.126520561438069,0,15037.0274825944,0
"123",5037,1916,62,2020,7,1,8,"pub",0,0,1,0,0,1,1,0,0,6188,0.126858435681965,0,20124.598123534,0
"124",5037,63,63,2018,8,2,8,"pub",1,2,0,0,0,1,0,1,0,6209,0.124496698341118,0,20124.598123534,0
