"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1196","21091",4,0,0,1,0,0,1,1,0,0,0,1,1,0.5,2,5,"No","Cont/Casa",9909,0.137551720657988,5,18499.3313946137
"1197","21093",3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,"No","Casa",7671,0.153565376091774,0,9348.1768558952
"1198","21094",13,0,0,1,0,0,2,1,0,0,0.333333333333333,0.666666666666667,1,0.666666666666667,3,17,"No","Otra",36108,0.0972914589564639,7,15135.6162969864
"1199","21095",2,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,"No","Cont/Casa",620,0.108064516129032,0,11313.3913043478
"1200","21096",3,3,0,1,1,0,0,0,1,0,0,0,0,0,1,1,"No","Casa",3065,0.115823817292007,0,15008.2255358807
"1201","21097",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,"No","Casa",2576,0.117624223602484,0,15311.4386694387
"1202","21098",4,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,"No","Casa",6578,0.149589540893889,0,11559.8325859492
"1203","21099",3,0,0,1,0,0,0,1,0,0,0,1,1,0,1,2,"No","Casa",20314,0.10697056217387,0,11694.277354649
"1204","21100",4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,"No","Casa",9387,0.132736763609247,0,8917.25596529284
"1205","21101",1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0.216,"No","Casa",3374,0.173088322465916,0,11074.298829883
"1206","21102",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,8,"No","Casa",13659,0.0863899260560802,0,13687.5836177474
"1207","21104",6,0,0,1,0,0,1,0,0,0,0,0,1,1,1,10,"No","Casa",31676,0.073273140548049,4,18904.9696159151
"1208","21105",4,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0.8,"No","Casa",5025,0.159800995024876,0,10813.3237668161
"1209","21107",4,0,0,1,0,0,1,0,0,0,NA,NA,1,1,1,0.7,"No","Casa",11921,0.153091183625535,0,9055.36927899686
"1210","21108",6,0,0,1,0,0,2,0,0,0,0,1,1,1,2,6,"No","Casa",19239,0.0884141587400593,4,14885.7115578565
"1211","21109",6,0,0,1,0,0,0,0,1,0,1,0,0,0,1,3,"No","Casa",20346,0.128084144303549,10,10404.7375368297
"1212","21110",9,0,0,1,0,0,0,3,0,0,0,1,1,0,3,27,"No","Casa",48759,0.0818310465760167,3,11745.3319039451
"1213","21111",5,0,1,1,0,0.2,1,0,0,0,1,0,1,1,1,2,"No","Cont/Casa",18507,0.166855784297833,3,12022.2023483366
"1214","21112",3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,"No","Casa",9358,0.181449027569994,0,10206.9287469287
"1215","21113",2,0,2,1,0,1,1,0,0,0,1,0,1,1,1,10,"No","Casa",4617,0.230236084037254,0,14406.7058823529
