"","clave_mun","loc","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","CVE_ZM","servs","tot_servs","mshare","mshare2","hhi","POBTOT","urb","P60","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","occidente","spec"
"29",2002,2.02,"2002 39 0042",2020,2,21,0,2,0,2,2,2,1,9,543,627,0.435406698564593,2.02,552,92970,0.593739916101968,0.352527087972772,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",2,1,0,0,1,0,0,1,0,0,0
"30",2002,2.02,"2002 11 4204",2020,2,21,0,22,18,15,18,3,2,1501,2273,9996,0.835498662590753,2.02,3774,92970,4.0593739916102,16.4785172037613,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",33,1,0.545454545454545,0,0,0,0,1,0,0,0
"31",2002,2.02,"2002 19 0042",2020,2,21,1,4,2,2,1,3,1,0,91,207,0.811594202898551,2.02,91,92970,0.0978810368936216,0.00958069738337051,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",5,0.8,0.4,0,1,0,0,1,0,0,0
"32",2002,2.02,"2002 12 4238",2020,2,21,0,137,132,176,39,3,4,1474,25356,27600,0.57318458836897,2.02,26830,92970,28.8587716467678,832.828700960287,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",308,1,0.428571428571429,1,0,0,0,1,0,0,0
"33",2002,2.02,"2002 16 0042",2020,2,21,0,30,35,19,13,6,2,769,23190,9024,0.614960441141213,2.02,23959,92970,25.7706787135635,664.127881357716,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",54,1,0.648148148148148,0,0,0,0,1,0,0,0
"34",2002,2.02,"2002 1 031A",2020,2,21,21,95,115,90,30,2,5,3944,7492,18264,0.656117247238743,2.02,11436,92970,12.3007421748951,151.308258053244,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",226,0.818965517241379,0.508849557522124,1,0,0,0,1,0,0,0
"35",2002,2.02,"2002 30 0042",2020,2,21,1,7,8,6,10,2,2,544,432,2850,0.731822070145423,2.02,976,92970,1.04980101107884,1.10208216286216,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",15,0.875,0.533333333333333,0,0,0,0,1,0,0,0
"36",2002,2.02,"2002 36 4238",2020,2,21,0,3,5,6,3,4,2,81,260,303,0.825503355704698,2.02,341,92970,0.366784984403571,0.134531224783928,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",11,1,0.454545454545455,0,1,0,0,1,0,0,0
"37",2002,2.02,"2002 20 0042",2020,2,21,3,31,3,5,5,1,1,402,944,3420,0.574821852731591,2.02,1346,92970,1.44777885339357,2.09606360833359,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",11,0.911764705882353,0.272727272727273,0,1,0,0,1,0,0,0
"38",2002,2.02,"2002 15 0042",2020,2,21,0,103,46,29,12,2,3,367,0,2715,0.553222302679218,2.02,367,92970,0.394750994944606,0.155828348009756,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",75,1,0.613333333333333,0,0,0,0,1,0,0,0
"39",2002,2.02,"2002 5 0042",2020,2,21,1,4,13,15,14,3,2,1237,1910,19950,0.641985414496205,2.02,3147,92970,3.38496289125524,11.4579737751751,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",29,0.8,0.448275862068966,0,0,0,0,1,0,0,0
"40",2002,2.02,"2002 2 0042",2020,2,21,0,4,6,4,5,1,1,65,93,456,0.741635687732342,2.02,158,92970,0.169947294826288,0.0288820830187733,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",10,1,0.6,0,1,0,0,1,0,0,0
"41",2002,2.02,"2002 38 0042",2020,2,21,0,1,2,1,3,1,2,17,314,54,0.78125,2.02,331,92970,0.356028826503173,0.126756525301226,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",3,1,0.666666666666667,0,1,0,0,1,0,0,0
"42",2002,2.02,"2002 10 0042",2020,2,21,0,16,8,11,10,3,1,273,2065,1203,0.806425702811245,2.02,2338,92970,2.51478971711305,6.32416732129752,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",19,1,0.421052631578947,0,0,0,0,1,0,0,0
