"","loc","clave_mun","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","servs","tot_servs","hhi","POBTOT","P60","urb","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","west","spec"
"36",2.02,2002,"2002 30 0042",2020,2,21,1,7,8,6,10,2,2,544,432,2850,0.731822070145423,976,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",15,0.875,0.533333333333333,0,0,0,0,1,0,0,0
"37",2.02,2002,"2002 25 0042",2020,2,21,6,100,112,176,33,4,4,1510,11362,23034,0.577749842866122,12872,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",294,0.943396226415094,0.380952380952381,1,0,0,0,1,0,0,0
"38",2.02,2002,"2002 12 4238",2020,2,21,0,137,132,176,39,3,4,1474,25356,27600,0.57318458836897,26830,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",308,1,0.428571428571429,1,0,0,0,1,0,0,0
"39",2.02,2002,"2002 20 0042",2020,2,21,3,31,3,5,5,1,1,402,944,3420,0.574821852731591,1346,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",11,0.911764705882353,0.272727272727273,0,1,0,0,1,0,0,0
"40",2.02,2002,"2002 15 0042",2020,2,21,0,103,46,29,12,2,3,367,0,2715,0.553222302679218,367,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",75,1,0.613333333333333,0,0,0,0,1,0,0,0
"41",2.02,2002,"2002 13 0042",2020,2,21,2,4,1,5,3,1,1,68,288,552,0.765676567656766,356,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",8,0.666666666666667,0.125,0,1,0,0,1,0,0,0
"42",2.02,2002,"2002 2 0042",2020,2,21,0,4,6,4,5,1,1,65,93,456,0.741635687732342,158,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",10,1,0.6,0,1,0,0,1,0,0,0
"43",2.02,2002,"2002 19 0042",2020,2,21,1,4,2,2,1,3,1,0,91,207,0.811594202898551,91,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",5,0.8,0.4,0,1,0,0,1,0,0,0
"44",2.03,2003,"2003 8 0410",2020,2,21,1,6,6,3,9,3,2,52,1736,867,0.721637426900585,1788,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",10,0.857142857142857,0.6,0,0,0,0,1,0,0,0
"45",2.03,2003,"2003 3 1118",2020,2,21,2,24,2,6,3,1,1,37,542,114,0.786764705882353,579,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",10,0.923076923076923,0.2,0,1,0,0,1,0,0,0
"46",2.03,2003,"2003 5 1103",2020,2,21,0,23,9,7,17,4,2,115,5999,2613,0.607790821771611,6114,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",16,1,0.5625,0,0,0,0,1,0,0,0
"47",2.03,2004,"2004 150 1543",2020,2,21,0,18,2,4,5,2,1,33,730,144,0.724550898203593,763,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",6,1,0.333333333333333,0,1,0,0,1,0,0,0
"48",2.03,2004,"2004 78 3836",2020,2,21,4,18,33,56,12,1,2,1262,4630,9843,0.661302256751757,5892,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",93,0.818181818181818,0.354838709677419,0,0,0,0,1,0,0,0
"49",2.03,2004,"2004 76 3056",2020,2,21,0,12,1,3,4,1,1,46,900,135,0.895705521472393,946,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",4,1,0.25,0,1,0,0,1,0,0,0
"50",2.03,2004,"2004 84 3380",2020,2,21,0,159,265,136,48,8,6,1189,16545,27648,0.454072398190045,17734,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",401,1,0.660847880299252,1,0,0,0,1,0,0,0
"51",2.03,2004,"2004 140 3075",2020,2,21,2,9,2,3,3,1,1,20,7107,2760,0.516943042537852,7127,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",7,0.818181818181818,0.285714285714286,0,1,0,0,1,0,0,0
"52",2.03,2004,"2004 181 7133",2020,2,21,0,20,7,5,7,4,1,277,8126,834,0.758134490238612,8403,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",12,1,0.583333333333333,0,0,0,0,1,0,0,0
"53",2.03,2004,"2004 83 3357",2020,2,21,0,70,19,15,13,1,3,774,973,5328,0.782962730974006,1747,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",34,1,0.558823529411765,0,0,0,0,1,0,0,0
"54",2.03,2004,"2004 33 1543",2020,2,21,0,12,3,4,5,2,1,124,3800,1146,0.677807486631016,3924,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",7,1,0.428571428571429,0,1,0,0,1,0,0,0
"55",2.03,2004,"2004 211 3130",2020,2,22,0,2,4,4,3,1,1,43,761,132,0.985294117647059,804,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",8,1,0.5,0,1,0,0,1,0,0,1
"56",2.03,2004,"2004 139 5809",2020,2,21,0,14,9,5,12,9,3,10,19233,22467,0.600525624178712,19243,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",14,1,0.642857142857143,0,0,0,0,1,0,0,0
"57",2.03,2004,"2004 34 0032",2020,2,26,5,39,39,36,5,1,5,1849,1849,4020,0.988059701492537,3698,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",80,0.886363636363636,0.4875,0,1,0,0,1,0,0,1
"58",2.03,2004,"2004 21 0032",2020,2,26,0,3,3,5,4,1,1,80,90,360,1,170,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",8,1,0.375,0,1,0,0,1,0,0,1
"59",2.03,2004,"2004 31 4069",2020,2,21,1,10,1,3,4,1,1,67,305,1092,0.671942446043165,372,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",5,0.909090909090909,0.2,0,1,0,0,1,0,0,0
"60",2.03,2004,"2004 212 3357",2020,2,26,0,6,8,3,4,2,2,191,246,591,0.949238578680203,437,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",11,1,0.727272727272727,0,1,0,0,1,0,0,1
"61",2.03,2004,"2004 48 3357",2020,2,21,0,15,8,5,7,9,2,368,0,2046,0.577372262773723,368,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",13,1,0.615384615384615,0,0,0,0,1,0,0,0
"62",2.03,2004,"2004 32 0032",2020,2,21,0,21,11,10,7,0,1,374,0,5349,0.534966592427617,374,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",21,1,0.523809523809524,0,0,0,0,1,0,0,0
"63",2.03,2004,"2004 205 3380",2020,2,21,18,143,132,78,116,3,11,2337,3462,27744,0.611513232300385,5799,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",228,0.888198757763975,0.578947368421053,1,0,0,0,1,0,0,0
"64",2.03,2004,"2004 35 0437",2020,2,21,10,5,2,3,4,1,1,24,700,654,0.494623655913978,724,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",15,0.333333333333333,0.133333333333333,0,1,0,0,1,0,0,0
"65",2.03,2004,"2004 156 2927",2020,2,21,0,28,43,42,28,4,3,26,1171,2157,0.532839962997225,1197,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",85,1,0.505882352941176,1,0,0,0,1,0,0,0
"66",2.03,2004,"2004 7 7152",2020,2,21,1,10,5,6,7,6,1,180,3460,837,0.870676691729323,3640,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",12,0.909090909090909,0.416666666666667,0,0,0,0,1,0,0,0
"67",2.03,2004,"2004 18 3840",2020,2,21,5,9,3,5,4,4,1,28,4190,252,0.770408163265306,4218,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",13,0.642857142857143,0.230769230769231,0,1,0,0,1,0,0,0
"68",2.03,2004,"2004 206 2931",2020,2,21,4,22,14,3,5,5,1,15,6022,123,0.714285714285714,6037,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",21,0.846153846153846,0.666666666666667,0,1,0,0,1,0,0,0
"69",2.03,2004,"2004 131 0456",2020,2,21,4,755,58,90,27,1,4,190,9416,16860,0.567458930443901,9606,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",152,0.994729907773386,0.381578947368421,1,0,0,0,1,0,0,0
"70",2.03,2004,"2004 152 2931",2020,2,21,0,5,5,4,2,2,2,360,1265,660,0.672727272727273,1625,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",9,1,0.555555555555556,0,1,0,0,1,0,0,0
"71",2.03,2004,"2004 36 1312",2020,2,21,8,3,20,28,44,4,2,0,842,20037,0.52819653824679,842,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",56,0.272727272727273,0.357142857142857,1,0,0,0,1,0,0,0
"72",2.03,2004,"2004 95 3357",2020,2,21,0,4,5,4,8,4,2,18,98,165,0.476190476190476,116,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",9,1,0.555555555555556,0,0,0,0,1,0,0,0
"73",2.03,2004,"2004 235 3198",2020,2,21,0,8,4,5,4,2,1,166,12803,675,0.833943833943834,12969,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",9,1,0.444444444444444,0,1,0,0,1,0,0,0
"74",2.03,2004,"2004 165 3319",2020,2,21,0,3,1,5,4,2,2,37,144,510,0.762987012987013,181,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",6,1,0.166666666666667,0,1,0,0,1,0,0,0
"75",2.03,2004,"2004 224 1632",2020,2,26,14,0,37,9,6,5,0,131,262,732,0.862595419847328,393,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",60,0,0.616666666666667,0,0,0,0,1,0,0,1
"76",2.03,2004,"2004 166 0422",2020,2,21,6,0,2,4,6,2,1,154,2796,678,0.794041450777202,2950,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",12,0,0.166666666666667,0,0,0,0,1,0,0,0
"77",2.03,2004,"2004 185 3751",2020,2,21,0,7,0,3,3,1,1,7,6001,102,0.672131147540984,6008,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",3,1,0,0,1,0,0,1,0,0,0
"78",2.03,2004,"2004 208 0032",2020,2,21,8,13,5,13,6,2,1,124,1099,15537,0.518998951781971,1223,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",26,0.619047619047619,0.192307692307692,0,0,0,0,1,0,0,0
"79",2.03,2004,"2004 173 1064",2020,2,21,4,2,10,1,1,0,3,455,0,3453,0.679160419790105,455,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",15,0.333333333333333,0.666666666666667,0,1,0,0,1,0,0,0
"80",2.03,2004,"2004 88 0441",2020,2,26,2,11,32,9,7,3,3,354,516,1350,0.836492890995261,870,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",43,0.846153846153846,0.744186046511628,0,0,0,0,1,0,0,1
"81",2.03,2004,"2004 170 5300",2020,2,21,0,12,7,6,6,2,1,744,38433,3987,0.850886075949367,39177,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",13,1,0.538461538461538,0,0,0,0,1,0,0,0
"82",2.03,2004,"2004 157 436A",2020,2,21,14,0,4,16,17,1,2,38,704,5097,0.358208955223881,742,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",34,0,0.117647058823529,0,0,0,0,1,0,0,0
"83",2.03,2004,"2004 219 3380",2020,2,26,0,3,3,6,4,2,2,25,47,195,0.846153846153846,72,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",9,1,0.333333333333333,0,1,0,0,1,0,0,1
"84",2.03,2004,"2004 16 1473",2020,2,21,17,0,49,14,22,1,1,5,0,588,0.695652173913043,5,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",80,0,0.6125,1,0,0,0,1,0,0,0
