"","clave_mun","staff","presupparcial","light","waste","poli","tax","pobtot2018","P60","ingpc2015","salmed","compstaff","pcollege","progtot","capreg","pagemed","pageold","ptemp","party2","party","pct_muj"
"289",13063,757,179940701,7092,39,2804,0.134349745106531,88556,0.101393468539681,25778.4051018771,123159.647291942,0.273447820343461,0.178335535006605,11,0,0.309114927344782,0.207397622192867,0.183619550858653,"Other","Other",0.479713603818616
"290",13064,132,44932760,1135,3,71,0.0134598495687401,10652,0.157247465264739,21986.1516079632,138761.068181818,0.265151515151515,0.159090909090909,7,0,0.431818181818182,0.121212121212121,0.0606060606060606,"PAN","PAN",0.477272727272727
"291",13065,121,32363258,987,5,94,0.0217211445392353,11640,0.114175257731959,22807.0832625319,156081.297520661,0.363636363636364,0.140495867768595,15,1,0.413223140495868,0.0413223140495868,0,"LEFT","LEFT",0.31404958677686
"292",13066,205,48511216,1202,14,236,0.100911114079878,12758,0.106834927104562,21855.2588585339,113235.52195122,0.560975609756098,0.297560975609756,13,1,0.360975609756098,0.219512195121951,0.0292682926829268,"PRI","PRI",0.424390243902439
"293",13067,322,208687305,3518,40,266,0.0112911648736863,53713,0.104611546552976,19330.3609925293,60301.1552795031,0.214285714285714,0.31055900621118,13,0,0.434782608695652,0.164596273291925,0,"LEFT","LEFT",0.511400651465798
"294",13069,958,160823965,10769,240,1337,0.233944155090729,154133,0.0751558718768855,27609.9198042843,217942.803757829,0.236951983298539,0.204592901878914,18,0,0.382045929018789,0.343423799582463,0.00313152400835073,"PRI","PRI",0.390396659707724
"295",13070,196,44201171,1500,10,308,0.0307295686008325,18681,0.106792998233499,23560.9188455008,122291.821428571,0.306122448979592,0.239795918367347,0,1,0.454081632653061,0.244897959183673,0.0204081632653061,"LEFT","LEFT",0.469387755102041
"296",13071,219,51953752,712,0.726,36,0.00336220937798399,9217,0.191493978517956,16267.0834097159,108113.579908676,0.210045662100457,0.0502283105022831,8,0,0.479452054794521,0.19634703196347,0.0136986301369863,"Other","Other",0.278538812785388
"297",13073,282,187556724,1102,7,151,0.00652044866126439,37454,0.119212901158755,11179.0398108667,134602.195035461,0.24468085106383,0.265957446808511,15,0,0.446808510638298,0.216312056737589,0,"PAN","PAN",0.322695035460993
"298",13074,157,54768003,2143,20,1649,0.0262927708437067,28254,0.110108303249097,23964.2379603399,114411.203821656,0.280254777070064,0,7,1,0.363057324840764,0.0445859872611465,0.0382165605095541,"PAN","PAN",0.507575757575758
