id,docs,staff,beds,op_rooms,id,surgery,consult,days,id,year,pop,income,P60,urb,hhi,special,central,north,west,big,small
2004 185 3751,7,3,3,1,2004 185 3751,7,6001,102,2004 185 3751,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 208 0032,21,18,6,1,2004 208 0032,124,1099,15537,2004 208 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 173 1064,6,11,1,3,2004 173 1064,455,0,3453,2004 173 1064,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 88 0441,13,41,7,3,2004 88 0441,354,516,1350,2004 88 0441,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 170 5300,12,13,6,1,2004 170 5300,744,38433,3987,2004 170 5300,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 157 436A,14,20,17,2,2004 157 436A,38,704,5097,2004 157 436A,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 219 3380,3,9,4,2,2004 219 3380,25,47,195,2004 219 3380,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 16 1473,17,63,22,1,2004 16 1473,5,0,588,2004 16 1473,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 30 0032,5,12,2,2,2004 30 0032,100,1543,852,2004 30 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 137 2927,10,7,5,2,2004 137 2927,5,16433,885,2004 137 2927,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 45 0032,33,15,10,1,2004 45 0032,37,166,465,2004 45 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,0
2004 187 3380,47,66,24,5,2004 187 3380,2538,158,9303,2004 187 3380,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 188 525A,17,13,7,2,2004 188 525A,183,7654,2772,2004 188 525A,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 189 2306,4,5,2,1,2004 189 2306,0,55,3,2004 189 2306,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 233 3130,9,8,6,1,2004 233 3130,11,103,477,2004 233 3130,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 230 0032,15,9,4,1,2004 230 0032,63,450,393,2004 230 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 85 0456,15,35,30,1,2004 85 0456,0,98,6663,2004 85 0456,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,1,0
2004 215 3357,6,6,5,2,2004 215 3357,24,667,162,2004 215 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 3 0051,8,8,7,1,2004 3 0051,64,110,513,2004 3 0051,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 214 3037,3,11,3,1,2004 214 3037,15,100,189,2004 214 3037,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 195 4069,17,11,10,1,2004 195 4069,65,3462,1794,2004 195 4069,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 40 0032,12,14,11,2,2004 40 0032,1,84,252,2004 40 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 162 0441,3,20,10,2,2004 162 0441,68,260,294,2004 162 0441,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,0
2004 132 2999,9,5,4,1,2004 132 2999,27,2032,594,2004 132 2999,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 130 3126,4,5,5,1,2004 130 3126,0,230,180,2004 130 3126,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 202 0032,15,5,5,1,2004 202 0032,34,311,219,2004 202 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 103 1581,14,6,4,1,2004 103 1581,70,1934,378,2004 103 1581,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 228 0441,8,11,8,3,2004 228 0441,245,205,1470,2004 228 0441,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,0
2004 240 0051,8,6,7,1,2004 240 0051,110,1610,468,2004 240 0051,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 231 1736,12,7,2,1,2004 231 1736,41,366,237,2004 231 1736,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 179 0032,18,16,4,1,2004 179 0032,15,620,1347,2004 179 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 217 1897,20,12,4,1,2004 217 1897,8,10162,39,2004 217 1897,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
