"","X","id","nombre","entidad","capinstt","pobtot","pobh","pobm","staff","contrato","survtec","certif","estud","capacit","sinsent","sex","seg","fed","fed_com","anio","ocup","psisent","logcap","pctmen","pfed","pfed_plus"
"485",240,32004,"CENTRO PENITENCIARIO DISTRITAL RIO GRANDE",32,120,40,40,0,18,"public","tech","certif",10,0,15,"men","min",0,0,2020,0.333333333333333,0.375,4.78749174278205,1,0,0
"486",241,32005,"CENTRO ESTATAL DE REINSERCIÓN SOCIAL FEMENIL CIENEGUILLAS",32,132,173,0,173,70,"public","tech","certif",42,35,90,"women","min",38,0,2020,1.31060606060606,0.520231213872832,4.88280192258637,0,0.219653179190751,0.219653179190751
"487",242,32006,"CENTRO PENITENCIARIO DISTRITAL PINOS",32,45,48,48,0,13,"public","tech","no_certif",5,0,22,"men","min",0,0,2020,1.06666666666667,0.458333333333333,3.80666248977032,1,0,0
"488",243,32007,"CENTRO PENITENCIARIO DISTRITAL OJOCALIENTE",32,120,48,48,0,19,"public","tech","no_certif",0,0,12,"men","min",0,0,2020,0.4,0.25,4.78749174278205,1,0,0
"489",244,32008,"CENTRO PENITENCIARIO DISTRITAL CALERA DE VÍCTOR ROSALES",32,45,34,34,0,16,"public","tech","no_certif",0,0,3,"men","min",1,0,2020,0.755555555555556,0.0882352941176471,3.80666248977032,1,0.0294117647058824,0.0294117647058824
"490",245,32009,"CENTRO PENITENCIARIO DISTRITAL SOMBRERETE",32,75,48,48,0,12,"public","no_tech","no_certif",6,0,16,"men","min",0,0,2020,0.64,0.333333333333333,4.31748811353631,1,0,0
"491",246,32010,"CENTRO PENITENCIARIO DISTRITAL JALPA",32,40,52,52,0,19,"public","tech","certif",10,0,19,"men","min",3,0,2020,1.3,0.365384615384615,3.68887945411394,1,0.0576923076923077,0.0576923076923077
"492",247,32011,"CENTRO PENITENCIARIO DISTRITAL TLALTENANGO",32,45,48,48,0,20,"public","tech","certif",10,0,15,"men","min",0,0,2020,1.06666666666667,0.3125,3.80666248977032,1,0,0
"493",248,32012,"CENTRO PENITENCIARIO DISTRITAL LORETO",32,21,29,29,0,12,"public","no_tech","no_certif",4,0,19,"men","min",0,0,2020,1.38095238095238,0.655172413793103,3.04452243772342,1,0,0
"494",249,32013,"CENTRO PENITENCIARIO DISTRITAL MIGUEL AUZA",32,20,18,18,0,9,"public","no_tech","no_certif",6,0,6,"men","min",0,0,2020,0.9,0.333333333333333,2.99573227355399,1,0,0
"495",250,32014,"CENTRO PENITENCIARIO DISTRITAL VALPARAÍSO",32,45,21,21,0,9,"public","no_tech","no_certif",6,0,11,"men","min",0,0,2020,0.466666666666667,0.523809523809524,3.80666248977032,1,0,0
"496",251,32015,"CENTRO PENITENCIARIO DISTRITAL CONCEPCIÓN DEL ORO",32,20,25,25,0,10,"public","tech","no_certif",5,0,15,"men","min",0,1,2020,1.25,0.6,2.99573227355399,1,0,0.04
