"","X","id","nombre","entidad","capinstt","pobtot","pobh","pobm","staff","contrato","survtec","certif","estud","capacit","sinsent","sex","seg","fed","fed_com","anio","ocup","psisent","logcap","pctmen","pfed","pfed_plus"
"158",165,20010,"CENTRO PENITENCIARIO DE SAN FRANCISCO TANIVET FEMENIL",20,249,165,0,165,63,"public","tech","no_certif",20,47,115,"women","min",48,0,2019,0.662650602409639,0.696969696969697,5.51745289646471,0,0.290909090909091,0.290909090909091
"159",166,20011,"CENTRO PENITENCIARIO PARA PERSONAS CON PROBLEMAS PSIQUIÁTRICOS",20,107,87,87,0,28,"public","no_tech","no_certif",50,0,24,"men","min",0,0,2019,0.813084112149533,0.275862068965517,4.67282883446191,1,0,0
"160",167,21001,"CENTRO PENITENCIARIO DE PUEBLA",21,2397,4059,3731,328,537,"public","tech","no_certif",571,375,2194,"mixed","med",682,0,2019,1.69336670838548,0.540527223454053,7.78197323443438,0.919191919191919,0.168021680216802,0.168021680216802
"161",168,21002,"CENTRO PENITENCIARIO DE TEPEXI DE RODRÍGUEZ",21,1121,725,725,0,454,"public","tech","certif",300,38,162,"men","med",15,6,2019,0.646743978590544,0.223448275862069,7.02197642307216,1,0.0206896551724138,0.0289655172413793
"162",169,21003,"CENTRO PENITENCIARIO DE CIUDAD SERDÁN",21,424,254,218,36,145,"public","tech","certif",102,18,80,"mixed","min",4,0,2019,0.599056603773585,0.31496062992126,6.04973345523196,0.858267716535433,0.015748031496063,0.015748031496063
"163",170,22001,"CENTRO PENITENCIARIO CP1 VARONIL",22,2111,1841,1841,0,285,"public","tech","no_certif",658,36,455,"men","med",240,0,2019,0.872098531501658,0.247148288973384,7.65491704784832,1,0.130363932645301,0.130363932645301
"164",171,22002,"CENTRO PENITENCIARIO CP2F FEMENIL",22,249,158,0,158,67,"public","tech","certif",45,0,60,"women","min",15,0,2019,0.634538152610442,0.379746835443038,5.51745289646471,0,0.0949367088607595,0.0949367088607595
"165",172,22003,"CENTRO PENITENCIARIO CP3 VARONIL",22,923,489,489,0,104,"public","tech","certif",195,20,118,"men","med",16,7,2019,0.529794149512459,0.241308793456033,6.82762923450285,1,0.032719836400818,0.0470347648261759
"166",173,22004,"CENTRO PENITENCIARIO CP4",22,127,65,65,0,44,"public","tech","certif",39,7,10,"men","med",0,0,2019,0.511811023622047,0.153846153846154,4.84418708645859,1,0,0
"167",174,23001,"CERESO DE CANCÚN",23,844,1301,1236,65,133,"private","tech","no_certif",447,32,836,"mixed","min",213,39,2019,1.5414691943128,0.642582628747118,6.73815249459596,0.950038431975403,0.163720215219062,0.19369715603382
"168",175,23002,"CERESO DE CHETUMAL",23,1292,1053,1005,48,103,"private","tech","no_certif",85,140,275,"mixed","min",55,15,2019,0.815015479876161,0.261158594491928,7.16394668434255,0.954415954415954,0.0522317188983856,0.0664767331433998
"169",176,23003,"CERESO DE COZUMEL",23,174,116,116,0,24,"private","tech","no_certif",10,36,64,"mixed","min",0,2,2019,0.666666666666667,0.551724137931034,5.15905529921453,1,0,0.0172413793103448
"170",177,24001,"CENTRO PENITENCIARIO ESTATAL DE SAN LUIS POTOSÍ",24,1847,1527,1454,73,398,"public","tech","no_certif",396,357,803,"mixed","med",162,45,2019,0.826746074715755,0.525867714472823,7.52131798019924,0.952193844138834,0.106090373280943,0.135559921414538
"171",178,24002,"CENTRO PENITENCIARIO ESTATAL DE MATEHUALA",24,244,143,136,7,70,"public","tech","no_certif",60,24,58,"mixed","med",8,9,2019,0.586065573770492,0.405594405594406,5.4971682252932,0.951048951048951,0.0559440559440559,0.118881118881119
"172",179,24003,"CENTRO PENITENCIARIO ESTATAL DE CIUDAD VALLES",24,640,321,305,16,124,"public","tech","certif",60,86,135,"mixed","med",10,19,2019,0.5015625,0.420560747663551,6.46146817635372,0.950155763239875,0.0311526479750779,0.0903426791277259
"173",180,24004,"CENTRO PENITENCIARIO ESTATAL DE RIOVERDE",24,419,255,245,10,79,"public","tech","no_certif",45,35,102,"mixed","med",5,13,2019,0.608591885441527,0.4,6.03787091992214,0.96078431372549,0.0196078431372549,0.0705882352941176
"174",181,24005,"CENTRO PENITENCIARIO ESTATAL DE TAMAZUNCHALE",24,162,86,84,2,48,"public","tech","no_certif",8,10,33,"mixed","med",3,2,2019,0.530864197530864,0.383720930232558,5.08759633523238,0.976744186046512,0.0348837209302326,0.0581395348837209
"175",182,24006,"CENTRO PENITENCIARIO ESTATAL DE TANCANHUITZ",24,162,107,105,2,53,"public","tech","no_certif",27,20,47,"mixed","med",0,0,2019,0.660493827160494,0.439252336448598,5.08759633523238,0.981308411214953,0,0
"176",183,25001,"CENTRO PENITENCIARIO ""AGUARUTO""",25,2716,2161,2069,92,293,"public","tech","no_certif",919,571,608,"mixed","med",706,0,2019,0.795655375552283,0.281351226284128,7.90691548867859,0.957427117075428,0.326700601573346,0.326700601573346
"177",184,25002,"CENTRO PENITENCIARIO ""EL CASTILLO""",25,1862,1209,1171,38,179,"public","tech","no_certif",150,413,316,"mixed","med",124,0,2019,0.649301825993555,0.261373035566584,7.52940645783701,0.968569065343259,0.102564102564103,0.102564102564103
"178",185,25003,"CENTRO PENITENCIARIO ""GOROS II""",25,1888,965,940,25,233,"public","tech","no_certif",351,387,249,"mixed","med",88,31,2019,0.511122881355932,0.258031088082902,7.54327334670545,0.974093264248705,0.0911917098445596,0.123316062176166
"179",186,25004,"CENTRO PENITENCIARIO ""REGIÓN DEL ÉVORA""",25,150,130,127,3,31,"public","tech","no_certif",23,58,57,"mixed","max",0,0,2019,0.866666666666667,0.438461538461538,5.01063529409626,0.976923076923077,0,0
"180",187,26001,"""AGUA PRIETA""",26,310,214,210,4,45,"public","no_tech","no_certif",16,46,68,"mixed","med",2,0,2019,0.690322580645161,0.317757009345794,5.73657229747919,0.981308411214953,0.00934579439252336,0.00934579439252336
"181",188,26002,"""CABORCA""",26,208,402,402,0,48,"public","no_tech","no_certif",31,45,220,"mixed","med",3,0,2019,1.93269230769231,0.54726368159204,5.33753807970132,1,0.00746268656716418,0.00746268656716418
"182",189,26003,"""CD. OBREGON""",26,882,1166,1105,61,124,"public","tech","no_certif",96,145,389,"mixed","med",65,0,2019,1.32199546485261,0.333619210977702,6.78219205600679,0.947684391080618,0.055746140651801,0.055746140651801
"183",190,26004,"""GUAYMAS""",26,545,535,503,32,85,"public","tech","no_certif",36,281,152,"mixed","med",7,0,2019,0.981651376146789,0.28411214953271,6.30078579466324,0.94018691588785,0.0130841121495327,0.0130841121495327
"184",191,26005,"""HERMOSILLO I""",26,2393,3138,2964,174,265,"public","tech","no_certif",493,50,1064,"mixed","med",90,0,2019,1.31132469703301,0.339069471000637,7.78030308790837,0.944550669216061,0.0286806883365201,0.0286806883365201
"185",192,26006,"""HERMOSILLO II""",26,920,428,428,0,104,"public","tech","no_certif",35,0,33,"mixed","med",13,0,2019,0.465217391304348,0.0771028037383178,6.82437367004309,1,0.0303738317757009,0.0303738317757009
"186",193,26007,"""HUATABAMPO""",26,130,152,147,5,54,"public","no_tech","no_certif",12,75,50,"mixed","med",4,0,2019,1.16923076923077,0.328947368421053,4.86753445045558,0.967105263157895,0.0263157894736842,0.0263157894736842
"187",194,26008,"""MAGDALENA""",26,91,48,48,0,29,"public","tech","no_certif",2,36,4,"mixed","med",0,0,2019,0.527472527472527,0.0833333333333333,4.51085950651685,1,0,0
"188",195,26009,"""NOGALES FEMENIL""",26,189,82,0,82,33,"public","no_tech","no_certif",25,23,14,"women","med",17,0,2019,0.433862433862434,0.170731707317073,5.24174701505964,0,0.207317073170732,0.207317073170732
"189",196,26010,"""NOGALES VARONIL""",26,1480,935,935,0,120,"public","tech","no_certif",62,53,84,"men","med",26,0,2019,0.631756756756757,0.0898395721925134,7.29979736675816,1,0.027807486631016,0.027807486631016
"190",197,26011,"""PUERTO PEÑASCO""",26,144,109,108,1,36,"public","no_tech","no_certif",13,46,29,"mixed","med",6,0,2019,0.756944444444444,0.26605504587156,4.969813299576,0.990825688073395,0.055045871559633,0.055045871559633
"191",198,26012,"""SAN LUIS RIO COLORADO""",26,508,490,460,30,76,"public","no_tech","no_certif",86,89,161,"mixed","med",15,0,2019,0.964566929133858,0.328571428571429,6.23048144757848,0.938775510204082,0.0306122448979592,0.0306122448979592
"192",199,26013,"""NAVOJOA""",26,160,120,119,1,49,"public","tech","no_certif",10,62,32,"mixed","med",1,0,2019,0.75,0.266666666666667,5.07517381523383,0.991666666666667,0.00833333333333333,0.00833333333333333
"193",200,27001,"CENTRO DE REINSERCIÓN SOCIAL DE TABASCO",27,1880,1961,1860,101,455,"public","tech","no_certif",65,315,711,"mixed","min",31,0,2019,1.04308510638298,0.362570117287098,7.539027055824,0.948495665476798,0.01580826109128,0.01580826109128
"194",201,27002,"CENTRO DE REINSERCIÓN SOCIAL DE CÁRDENAS",27,440,424,405,19,124,"public","tech","no_certif",20,35,189,"mixed","min",4,0,2019,0.963636363636364,0.445754716981132,6.08677472691231,0.955188679245283,0.00943396226415094,0.00943396226415094
"195",202,27003,"CENTRO DE REINSERCIÓN SOCIAL DE COMALCALCO",27,483,578,554,24,143,"public","tech","no_certif",15,48,235,"mixed","min",4,0,2019,1.19668737060041,0.406574394463668,6.18001665365257,0.958477508650519,0.0069204152249135,0.0069204152249135
"196",203,27004,"CENTRO DE REINSERCIÓN SOCIAL DE HUIMANGUILLO",27,310,309,298,11,99,"public","tech","no_certif",19,16,71,"mixed","min",1,0,2019,0.996774193548387,0.229773462783172,5.73657229747919,0.964401294498382,0.00323624595469256,0.00323624595469256
"197",204,27005,"CENTRO DE REINSERCIÓN SOCIAL DE MACUSPANA",27,139,189,189,0,81,"public","tech","no_certif",9,25,106,"mixed","min",0,0,2019,1.35971223021583,0.560846560846561,4.93447393313069,1,0,0
"198",205,27006,"CENTRO DE REINSERCIÓN SOCIAL DE TENOSIQUE",27,218,204,197,7,87,"public","tech","no_certif",15,41,69,"mixed","min",5,0,2019,0.935779816513762,0.338235294117647,5.38449506278909,0.965686274509804,0.0245098039215686,0.0245098039215686
"199",206,27007,"CENTRO PENITENCIARIO REGIONAL DE CUNDUACÁN",27,40,109,109,0,39,"public","tech","no_certif",5,18,49,"mixed","min",0,0,2019,2.725,0.44954128440367,3.68887945411394,1,0,0
"200",207,27008,"CENTRO PENITENCIARIO REGIONAL DE TACOTALPA",27,142,90,90,0,35,"public","tech","no_certif",6,20,43,"mixed","min",0,0,2019,0.633802816901408,0.477777777777778,4.95582705760126,1,0,0
"201",208,28001,"ALTAMIRA",28,356,724,696,28,267,"public","tech","no_certif",288,36,242,"mixed","other",25,0,2019,2.03370786516854,0.334254143646409,5.87493073085203,0.961325966850829,0.0345303867403315,0.0345303867403315
"202",209,28002,"LAREDO",28,535,574,544,30,79,"public","tech","no_certif",172,25,79,"mixed","other",22,0,2019,1.07289719626168,0.137630662020906,6.28226674689601,0.947735191637631,0.0383275261324042,0.0383275261324042
"203",210,28003,"TULA",28,44,2,2,0,31,"public","tech","no_certif",0,0,2,"mixed","other",0,0,2019,0.0454545454545455,1,3.78418963391826,1,0,0
"204",211,28004,"VICTORIA",28,889,852,770,82,251,"public","tech","no_certif",143,0,442,"mixed","other",37,0,2019,0.958380202474691,0.518779342723005,6.7900972355139,0.903755868544601,0.0434272300469484,0.0434272300469484
"205",212,28005,"REYNOSA",28,796,967,918,49,97,"public","tech","no_certif",134,0,272,"mixed","other",113,0,2019,1.21482412060302,0.281282316442606,6.67959918584438,0.949327817993795,0.116856256463289,0.116856256463289
"206",213,28006,"MATAMOROS",28,1472,654,617,37,130,"public","tech","no_certif",115,14,161,"mixed","other",76,0,2019,0.44429347826087,0.246177370030581,7.29437729928882,0.943425076452599,0.116207951070336,0.116207951070336
"207",214,28007,"JAUMAVE",28,40,9,9,0,7,"public","no_tech","no_certif",0,0,0,"mixed","min",0,0,2019,0.225,0,3.68887945411394,1,0,0
"208",215,29001,"CERESO TLAXCALA",29,504,290,290,0,85,"public","tech","no_certif",135,117,173,"men","min",22,3,2019,0.575396825396825,0.596551724137931,6.22257626807137,1,0.0758620689655172,0.0862068965517241
"209",216,29002,"CERESO REGIONAL APIZACO",29,482,381,381,0,84,"public","tech","no_certif",112,91,222,"men","min",128,0,2019,0.79045643153527,0.582677165354331,6.1779441140506,1,0.335958005249344,0.335958005249344
"210",217,29003,"CERESO FEMENIL TLAXCALA",29,73,66,0,66,21,"public","tech","no_certif",24,27,50,"women","min",8,0,2019,0.904109589041096,0.757575757575758,4.29045944114839,0,0.121212121212121,0.121212121212121
"211",218,30001,"ACAYUCAN",30,449,334,310,24,42,"public","tech","no_certif",100,29,142,"mixed","min",6,2,2019,0.743875278396437,0.425149700598802,6.10702288774225,0.92814371257485,0.0179640718562874,0.0239520958083832
"212",219,30002,"AMATLAN",30,1007,971,891,80,232,"public","tech","no_certif",268,104,388,"mixed","med",15,26,2019,0.964250248262165,0.399588053553038,6.91473089271856,0.917610710607621,0.0154479917610711,0.0422245108135942
"213",220,30003,"CHICONTEPEC",30,45,46,45,1,19,"public","tech","no_certif",9,0,18,"mixed","min",0,0,2019,1.02222222222222,0.391304347826087,3.80666248977032,0.978260869565217,0,0
"214",221,30004,"COATZACOALCOS",30,1632,1363,1265,98,101,"public","tech","no_certif",426,92,772,"mixed","min",75,25,2019,0.835171568627451,0.566397652237711,7.39756153552405,0.928099779897285,0.0550256786500367,0.0733675715333822
"215",222,30005,"COSAMALOAPAN",30,421,292,285,7,32,"public","tech","no_certif",85,0,112,"mixed","min",0,12,2019,0.693586698337292,0.383561643835616,6.04263283368238,0.976027397260274,0,0.0410958904109589
"216",223,30006,"HUAYACOCOTLA",30,72,32,32,0,16,"public","tech","no_certif",24,0,7,"mixed","min",0,0,2019,0.444444444444444,0.21875,4.27666611901606,1,0,0
"217",224,30007,"JALACINGO",30,144,157,151,6,44,"public","tech","no_certif",38,0,70,"mixed","min",1,0,2019,1.09027777777778,0.445859872611465,4.969813299576,0.961783439490446,0.00636942675159236,0.00636942675159236
"218",225,30008,"MISANTLA",30,234,251,236,15,37,"public","tech","no_certif",113,26,125,"mixed","min",0,1,2019,1.07264957264957,0.49800796812749,5.4553211153577,0.940239043824701,0,0.00398406374501992
"219",226,30009,"OZULUAMA",30,93,51,50,1,13,"public","tech","no_certif",10,0,22,"mixed","min",0,0,2019,0.548387096774194,0.431372549019608,4.53259949315326,0.980392156862745,0,0
"220",227,30010,"PACHO VIEJO",30,875,758,711,47,190,"public","tech","no_certif",175,132,401,"mixed","min",23,11,2019,0.866285714285714,0.529023746701847,6.77422388635761,0.937994722955145,0.0303430079155673,0.0448548812664908
"221",228,30011,"PANUCO",30,69,85,81,4,20,"public","tech","no_certif",17,25,24,"mixed","min",2,1,2019,1.23188405797101,0.282352941176471,4.23410650459726,0.952941176470588,0.0235294117647059,0.0352941176470588
"222",229,30012,"PAPANTLA",30,301,251,236,15,37,"public","no_tech","no_certif",82,48,91,"mixed","min",1,2,2019,0.833887043189369,0.362549800796813,5.70711026474888,0.940239043824701,0.00398406374501992,0.0119521912350598
"223",230,30013,"POZA RICA",30,265,347,325,22,34,"public","tech","no_certif",145,52,176,"mixed","min",1,0,2019,1.30943396226415,0.507204610951009,5.57972982598622,0.936599423631124,0.00288184438040346,0.00288184438040346
"224",231,30014,"SAN ANDRES TUXTLA",30,330,373,354,19,46,"public","tech","no_certif",188,25,190,"mixed","min",2,4,2019,1.13030303030303,0.509383378016086,5.79909265446053,0.949061662198391,0.00536193029490617,0.0160857908847185
"225",232,30015,"TANTOYUCA",30,180,107,102,5,19,"public","tech","no_certif",16,16,50,"mixed","min",0,0,2019,0.594444444444444,0.467289719626168,5.19295685089021,0.953271028037383,0,0
"226",233,30016,"TUXPAN",30,735,460,438,22,99,"public","tech","no_certif",169,0,111,"mixed","min",1,19,2019,0.625850340136054,0.241304347826087,6.59987049921284,0.952173913043478,0.00217391304347826,0.0434782608695652
"227",234,30017,"ZONGOLICA",30,164,103,99,4,33,"public","tech","no_certif",53,20,43,"mixed","min",0,0,2019,0.628048780487805,0.41747572815534,5.0998664278242,0.961165048543689,0,0
"228",235,31001,"DIRECCIÓN DEL CENTRO DE REINSERCIÓN SOCIAL FEMENIL",31,156,18,0,18,65,"public","tech","certif",12,18,0,"women","min",0,0,2019,0.115384615384615,0,5.04985600724954,0,0,0
"229",236,31002,"DIRECCIÓN DEL CENTRO DE REINSERCIÓN SOCIAL DE MÉRIDA",31,2485,1138,1117,21,304,"public","tech","no_certif",236,119,241,"mixed","min",67,5,2019,0.4579476861167,0.211775043936731,7.81802793853073,0.981546572934974,0.0588752196836555,0.0632688927943761
"230",237,31003,"CENTRO DE REINSERCIÓN SOCIAL DE TEKAX",31,152,112,104,8,56,"public","tech","certif",19,40,29,"mixed","min",1,0,2019,0.736842105263158,0.258928571428571,5.02388052084628,0.928571428571429,0.00892857142857143,0.00892857142857143
"231",238,31004,"DIRECCION DEL CENTRO DE REINSERCIÒN SOCIAL DE VALLADOLID",31,156,98,96,2,63,"public","tech","certif",21,0,15,"mixed","min",0,0,2019,0.628205128205128,0.153061224489796,5.04985600724954,0.979591836734694,0,0
"232",239,32001,"CENTRO REGIONAL DE REINSERCIÓN SOCIAL VARONIL CIENEGUILLAS",32,1240,1120,1120,0,197,"public","tech","no_certif",289,57,391,"men","min",314,0,2019,0.903225806451613,0.349107142857143,7.12286665859908,1,0.280357142857143,0.280357142857143
"233",240,32002,"CENTRO REGIONAL DE REINSERCIÓN SOCIAL FRESNILLO",32,370,315,315,0,79,"public","tech","no_certif",225,0,122,"men","min",29,0,2019,0.851351351351351,0.387301587301587,5.91350300563827,1,0.0920634920634921,0.0920634920634921
"234",241,32003,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL JEREZ DE GARCÍA SALINAS",32,75,61,61,0,17,"public","tech","certif",21,0,28,"men","min",2,0,2019,0.813333333333333,0.459016393442623,4.31748811353631,1,0.0327868852459016,0.0327868852459016
"235",242,32004,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL RIO GRANDE",32,120,46,46,0,19,"public","tech","certif",14,0,20,"men","min",4,0,2019,0.383333333333333,0.434782608695652,4.78749174278205,1,0.0869565217391304,0.0869565217391304
"236",243,32005,"CENTRO ESTATAL DE REINSERCIÓN SOCIAL FEMENIL CIENEGUILLAS",32,132,157,0,157,62,"public","tech","certif",36,45,72,"women","min",37,7,2019,1.18939393939394,0.45859872611465,4.88280192258637,0,0.235668789808917,0.280254777070064
"237",244,32006,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL PINOS",32,45,40,40,0,10,"public","tech","no_certif",5,40,19,"men","min",0,0,2019,0.888888888888889,0.475,3.80666248977032,1,0,0
"238",245,32007,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL OJOCALIENTE",32,120,48,48,0,19,"public","tech","no_certif",0,48,19,"men","min",1,0,2019,0.4,0.395833333333333,4.78749174278205,1,0.0208333333333333,0.0208333333333333
"239",246,32008,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL CALERA DE VICTOR ROSALES",32,45,41,41,0,15,"public","tech","no_certif",41,41,4,"men","min",0,2,2019,0.911111111111111,0.0975609756097561,3.80666248977032,1,0,0.0487804878048781
"240",247,32009,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL SOMBRERETE",32,75,53,53,0,13,"public","no_tech","no_certif",8,8,16,"men","min",0,0,2019,0.706666666666667,0.30188679245283,4.31748811353631,1,0,0
"241",248,32010,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL JALPA",32,40,31,31,0,15,"public","tech","certif",18,0,6,"men","min",2,0,2019,0.775,0.193548387096774,3.68887945411394,1,0.0645161290322581,0.0645161290322581
"242",249,32011,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL TLALTENANGO DE SÁNCHEZ ROMÁN",32,45,41,41,0,18,"public","tech","certif",18,0,13,"men","min",0,0,2019,0.911111111111111,0.317073170731707,3.80666248977032,1,0,0
"243",250,32012,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL NOCHISTLAN DE MEJÍA",32,26,16,16,0,7,"public","no_tech","no_certif",1,0,3,"men","min",1,0,2019,0.615384615384615,0.1875,3.25809653802148,1,0.0625,0.0625
"244",251,32013,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL LORETO",32,21,21,21,0,10,"public","no_tech","no_certif",21,21,10,"men","min",0,0,2019,1,0.476190476190476,3.04452243772342,1,0,0
"245",252,32014,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL MIGUEL AUZA",32,20,20,20,0,8,"public","no_tech","no_certif",20,0,7,"men","min",0,0,2019,1,0.35,2.99573227355399,1,0,0
"246",253,32015,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL VALPARAISO",32,45,16,16,0,10,"public","no_tech","no_certif",8,4,8,"men","min",0,0,2019,0.355555555555556,0.5,3.80666248977032,1,0,0
"247",254,32016,"ESTABLECIMIENTO PENITENCIARIO DISTRITAL CONCEPCIÓN DEL ORO",32,20,23,23,0,8,"public","tech","no_certif",0,0,14,"men","min",0,0,2019,1.15,0.608695652173913,2.99573227355399,1,0,0
"248",1,1001,"CENTRO DE REINSERCION SOCIAL AGUASCALIENTES",1,1123,1062,1062,0,224,"public","tech","no_certif",57,259,574,"men","med",100,25,2020,0.945681211041852,0.540489642184557,7.02375895473844,1,0.0941619585687382,0.117702448210923
"249",2,1002,"CENTRO DE REINSERCION SOCIAL EL LLANO",1,565,548,548,0,157,"public","tech","certif",75,103,16,"men","med",49,12,2020,0.969911504424779,0.0291970802919708,6.33682573114644,1,0.0894160583941606,0.111313868613139
"250",3,1003,"CENTRO DE REINSERCION SOCIAL PARA  MUJERES",1,120,109,0,109,75,"public","tech","no_certif",0,19,52,"women","med",25,0,2020,0.908333333333333,0.477064220183486,4.78749174278205,0,0.229357798165138,0.229357798165138
"251",5,2001,"CENTRO PENITENCIARIO MEXICALI",2,1780,2496,2301,195,245,"public","tech","certif",404,57,1931,"mixed","med",452,242,2020,1.40224719101124,0.77363782051282,7.48436864328613,0.921875,0.181089743589744,0.278044871794872
"252",6,2002,"CENTRO PENITENCIARIO TIJUANA",2,2562,4216,3890,326,410,"public","tech","no_certif",625,1147,2375,"mixed","med",612,751,2020,1.6455893832943,0.563330170777989,7.84854348245668,0.922675521821632,0.145161290322581,0.323292220113852
"253",7,2003,"CENTRO PENITENCIARIO ENSENADA",2,1197,1139,1031,108,192,"public","tech","certif",227,186,607,"mixed","min",165,158,2020,0.951545530492899,0.532923617208077,7.08757370555797,0.905179982440737,0.14486391571554,0.283582089552239
"254",8,2004,"CENTRO PENITENCIARIO EL HONGO",2,5996,3762,3762,0,419,"public","tech","certif",712,461,678,"men","max",166,859,2020,0.627418278852568,0.180223285486443,8.69884785922249,1,0.0441254651780968,0.272461456671983
"255",9,2005,"CENTRO PENITENCIARIO EL HONGO II",2,4618,921,921,0,172,"private","tech","certif",179,79,147,"men","min",107,109,2020,0.199436985708099,0.159609120521173,8.43771698991444,1,0.116178067318132,0.234527687296417
"256",10,3001,"CENTRO PENITENCIARIO LA PAZ",3,576,505,468,37,146,"public","tech","no_certif",224,130,270,"mixed","min",115,0,2020,0.876736111111111,0.534653465346535,6.35610766069589,0.926732673267327,0.227722772277228,0.227722772277228
"257",11,3002,"CENTRO PENITENCIARIO SAN JOSÉ DEL CABO",3,915,361,361,0,98,"public","tech","no_certif",126,70,156,"men","min",22,0,2020,0.394535519125683,0.43213296398892,6.81892406527552,1,0.0609418282548476,0.0609418282548476
"258",12,3003,"CENTRO PENITENCIARIO CIUDAD CONSTITUCIÓN",3,148,148,148,0,57,"public","tech","no_certif",48,0,58,"mixed","min",2,0,2020,1,0.391891891891892,4.99721227376411,1,0.0135135135135135,0.0135135135135135
"259",13,3004,"CENTRO PENITENCIARIO SANTA ROSALÍA",3,126,127,127,0,49,"public","tech","no_certif",30,0,68,"mixed","min",0,0,2020,1.00793650793651,0.535433070866142,4.83628190695148,1,0,0
"260",14,4001,"CENTRO PENITENCIARIO,  SAN FRANCISCO KOBEN, CAMPECHE",4,1400,943,911,32,172,"public","tech","no_certif",378,27,294,"mixed","min",64,0,2020,0.673571428571429,0.311770943796394,7.24422751560335,0.966065747613998,0.0678685047720042,0.0678685047720042
"261",15,4002,"CENTRO PENITENCIARIO,  CD DEL CARMEN, CAMPECHE",4,382,331,319,12,22,"public","tech","no_certif",132,12,159,"mixed","min",8,4,2020,0.866492146596859,0.48036253776435,5.94542060860658,0.963746223564955,0.0241691842900302,0.0362537764350453
"262",16,5001,"CENTRO PENITENCIARIO FEMENIL PIEDRAS NEGRAS",5,60,107,0,107,18,"public","tech","certif",36,0,79,"women","min",3,0,2020,1.78333333333333,0.738317757009346,4.0943445622221,0,0.0280373831775701,0.0280373831775701
"263",17,5002,"CENTRO PENITENCIARIO VARONIL PIEDRAS NEGRAS",5,864,578,578,0,61,"public","tech","no_certif",25,0,240,"men","min",2,1,2020,0.668981481481482,0.41522491349481,6.76157276880406,1,0.00346020761245675,0.00519031141868512
"264",18,5003,"CENTRO PENITENCIARIO FEMENIL SALTILLO",5,66,82,0,82,26,"public","tech","certif",25,0,39,"women","min",0,0,2020,1.24242424242424,0.475609756097561,4.18965474202643,0,0,0
"265",19,5004,"CENTRO PENITENCIARIO VARONIL SALTILLO",5,1020,1403,1403,0,79,"public","tech","no_certif",278,0,960,"men","min",0,0,2020,1.37549019607843,0.684248039914469,6.92755790627832,1,0,0
"266",20,5005,"CENTRO PENITENCIARIO VARONIL TORREÓN",5,1094,873,873,0,65,"public","tech","no_certif",121,11,457,"men","min",5,0,2020,0.797989031078611,0.52348224513173,6.99759598298193,1,0.00572737686139748,0.00572737686139748
"267",21,6001,"RECLUSORIO PREVENTIVO TECOMÁN",6,149,79,79,0,42,"public","tech","no_certif",73,0,79,"men","min",0,0,2020,0.530201342281879,1,5.00394630594546,1,0,0
"268",22,6002,"CENTRO DE REINSERCIÓN SOCIAL MANZANILLO",6,775,278,278,0,140,"public","tech","no_certif",145,0,94,"men","med",61,0,2020,0.358709677419355,0.338129496402878,6.65286302935335,1,0.219424460431655,0.219424460431655
"269",23,6003,"CENTRO FEMENIL DE REINSERCIÓN SOCIAL COLIMA",6,230,32,0,32,26,"public","tech","no_certif",25,0,32,"women","min",4,0,2020,0.139130434782609,1,5.4380793089232,0,0.125,0.125
"270",24,6004,"CENSTRO DE REINSERCIÓN SOCIAL DE COLIMA",6,2525,930,930,0,146,"private","tech","no_certif",211,0,332,"men","min",215,0,2020,0.368316831683168,0.356989247311828,7.83399634170946,1,0.231182795698925,0.231182795698925
"271",25,7001,"01 CHIAPA DE CORZO",7,152,51,51,0,125,"public","tech","no_certif",6,0,20,"men","min",0,0,2020,0.335526315789474,0.392156862745098,5.02388052084628,1,0,0
"272",26,7002,"03 TAPACHULA VARONIL",7,946,1057,1057,0,163,"public","tech","no_certif",128,3,596,"men","min",61,0,2020,1.11733615221987,0.563859981078524,6.85224256905188,1,0.0577105014191107,0.0577105014191107
"273",27,7003,"04 TAPACHULA FEMENIL",7,78,55,0,55,55,"public","tech","no_certif",17,5,32,"women","min",11,0,2020,0.705128205128205,0.581818181818182,4.35670882668959,0,0.2,0.2
"274",28,7004,"05 SAN CRISTÓBAL DE LAS CASAS",7,298,354,324,30,119,"public","tech","no_certif",48,2,202,"mixed","min",6,0,2020,1.18791946308725,0.570621468926554,5.6970934865054,0.915254237288136,0.0169491525423729,0.0169491525423729
"275",29,7005,"07 HUIXTLA",7,56,67,67,0,58,"public","tech","no_certif",18,0,52,"mixed","min",0,0,2020,1.19642857142857,0.776119402985075,4.02535169073515,1,0,0
