CLUES,clave_mun,Año,Clave Estado,Institución,Tipología,¿Cuenta con expediente clínico electrónico?,Total personal médico en formación,Total médicos generales especialistas y odonólogos,Total enfermeras en contacto con el paciente,TOTAL CAMAS AREA HOSPITALIZACIÓN,Quirófanos,egresos,dias,POBTOT,P60,PURB,n,X,ingreso,ing_pc,NIVEL ATENCION,imss,issste,third,a13,a14,a15,a16,a17,a18,a19,a20,a21,Q1,Q4,Q2,Q3,centro,norte,occidente,sur,covid,logpob,loginc,exp_elect,doctors_tot,pct_form
ASSSA000042,1001,2016,1,SSA,O,1,23,114,297,61,4,14664,25786,888198,0.09717090108286666,0.941386943001448,10,1,5502125998,6194.70658344198,TERCER NIVEL,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.6969499700925,8.731450429493938,1,137,0.1678832116788321
ASSSA000042,1001,2014,1,SSA,O,1,26,117,262,61,4,15192,26999,857802,0.09089160435625004,0.9366776948526584,10,1,5502125998,6414.214466741742,TERCER NIVEL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.662128582608014,8.766271816978424,1,143,0.18181818181818182
ASSSA000042,1001,2012,1,SSA,O,1,22,107,254,62,4,15505,26981,827406,0.08415094886911625,0.9316224441205406,10,1,5502125998,6649.85025247581,TERCER NIVEL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.626050784614772,8.802349614971666,1,129,0.17054263565891473
ASSSA000042,1001,2021,1,SSA,O,1,28,100,352,61,4,9315,20516,964188,0.11113703966446378,0.9518610478454408,10,1,5502125998,5706.486699689272,TERCER NIVEL,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,13.779041575325497,8.649358824260942,1,128,0.21875
ASSSA000042,1001,2015,1,SSA,O,1,27,118,269,61,4,14906,26820,873000,0.09408591065292096,0.939073310423826,10,1,5502125998,6302.549825887743,TERCER NIVEL,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.67969083482174,8.748709564764699,1,145,0.18620689655172415
ASSSA000042,1001,2020,1,SSA,O,1,28,108,340,61,4,9496,21660,948990,0.10852274523440712,0.9499004204470016,10,1,5502125998,5797.875634095196,TERCER NIVEL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,13.763153540128748,8.66524685945769,1,136,0.20588235294117646
ASSSA000042,1001,2019,1,SSA,O,1,26,108,325,61,4,12008,24234,933792,0.10582335252390254,0.947875972379288,10,1,5502125998,5892.239383074603,TERCER NIVEL,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13.747008994337277,8.681391405249162,1,134,0.19402985074626866
ASSSA000042,1001,2017,1,SSA,O,1,27,110,300,61,4,14203,24936,903396,0.10015209276994806,0.9436227302312608,10,1,5502125998,6090.4918751023915,TERCER NIVEL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,13.713916274475327,8.714484125111111,1,137,0.19708029197080293
ASSSA000042,1001,2013,1,SSA,O,1,26,115,251,61,4,15588,27974,842604,0.08758206702080693,0.9341956601202938,10,1,5502125998,6529.907285035438,TERCER NIVEL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.644252375726799,8.78414802385964,1,141,0.18439716312056736
ASSSA000042,1001,2018,1,SSA,O,1,20,99,237,61,4,13334,24912,918594,0.10303463771807785,0.9457845359320876,10,1,5502125998,5989.725600210757,TERCER NIVEL,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,13.730599519173857,8.697800880412581,1,119,0.16806722689075632
ASSSA000404,1003,2017,1,SSA,M,1,4,63,123,30,2,2432,5844,57017,0.12568181419576618,0.4885209674307663,10,3,118112364,2071.5289124296264,SEGUNDO NIVEL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10.95110474796434,7.636042218663418,1,67,0.05970149253731343
ASSSA000404,1003,2020,1,SSA,M,1,9,62,122,30,2,1783,5151,58250,0.13440343347639486,0.4869871244635193,10,3,118112364,2027.680068669528,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,10.972499371427947,7.614647595199811,1,71,0.1267605633802817
ASSSA000404,1003,2021,1,SSA,M,1,6,56,127,30,2,1649,5114,58661,0.13722916418063108,0.4864901723461925,10,3,118112364,2013.4734150457712,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,10.979530389777885,7.607616576849872,1,62,0.0967741935483871
ASSSA000404,1003,2012,1,SSA,M,1,6,60,115,33,1,2742,7361,54962,0.11027619082275028,0.49123030457406935,10,3,118112364,2148.98227866526,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.91439731633602,7.672749650291739,1,66,0.09090909090909091
ASSSA000404,1003,2018,1,SSA,M,1,7,64,136,30,2,2186,6069,57428,0.12863063314062825,0.488002368182768,10,3,118112364,2056.7034199345267,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10.958287268247584,7.6288596983801735,1,71,0.09859154929577464
ASSSA000404,1003,2019,1,SSA,M,1,7,60,131,30,2,2027,5353,57839,0.131537543871782,0.48749113919673576,10,3,118112364,2042.0886253220149,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10.965418567609882,7.621728399017876,1,67,0.1044776119402985
ASSSA000404,1003,2015,1,SSA,M,1,5,68,132,30,2,2462,6385,56195,0.11965477355636622,0.4895809235697126,10,3,118112364,2101.830483139069,SEGUNDO NIVEL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.936583063952368,7.65056390267539,1,73,0.0684931506849315
ASSSA000404,1003,2016,1,SSA,M,1,6,65,126,30,1,2376,6527,56606,0.122690174186482,0.4890470974808324,10,3,118112364,2086.5696922587713,SEGUNDO NIVEL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.94387026564006,7.643276700987698,1,71,0.08450704225352113
ASSSA000404,1003,2014,1,SSA,M,1,8,61,114,29,1,2435,6213,55784,0.11657464505951529,0.4901226158038147,10,3,118112364,2117.3161479994264,SEGUNDO NIVEL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.929242368900846,7.657904597726912,1,69,0.11594202898550725
ASSSA000404,1003,2013,1,SSA,M,1,5,62,115,30,1,2563,6689,55373,0.11344879273292036,0.49067234933993104,10,3,118112364,2133.031694146967,SEGUNDO NIVEL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.9218473893137,7.66529957731406,1,67,0.07462686567164178
ASSSA000614,1006,2020,1,SSA,M,1,8,71,179,30,2,2182,6708,47646,0.09404776896276708,0.7419510557024724,10,6,163258332,3426.485581161063,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,10.771553960123265,8.139290402979979,1,79,0.10126582278481013
ASSSA000614,1006,2019,1,SSA,M,1,8,71,163,30,2,1759,6349,47068,0.09212203620294045,0.7431588340273647,10,6,163258332,3468.5631851788903,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10.75934864358382,8.151495719519426,1,79,0.10126582278481013
ASSSA000614,1006,2017,1,SSA,M,1,9,71,130,30,2,3636,10504,45912,0.08812510890399024,0.7456656211883603,10,6,163258332,3555.8967590172506,SEGUNDO NIVEL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10.734481799788199,8.176362563315047,1,80,0.1125
