"","folio","anyo","staff_t","base","tot_veh","can_ton","compact","truck","pickup","a_10","POBTOT","P60","hoteles","ingpc2015"
"108",7034,2016,12,0,5,30,1,4,0,1,74721,0.0851434001150948,29,12612.3189255881
"109",7035,2016,7,0,1,7,0,1,0,1,14766,0.0917648652309359,0,12613.2218012241
"110",7036,2016,4,0,1,2,0,1,0,1,7014,0.0915312232677502,3,10058.1721384206
"111",7037,2016,12,0,4,22,4,0,0,1,35332,0.10231518170497,0,16342.4759074506
"112",7038,2016,6,0,3,8,0,3,0,1,24049,0.0916878040666972,0,10978.9626403083
"113",7039,2016,8,0,1,6.5,1,0,0,0,23299,0.0683291128374608,0,10384.6534883721
"114",7040,2016,34,12,4,45,1,1,0,1,54927,0.113805596519016,22,16544.0649611833
"115",7041,2016,8,0,1,3,1,0,0,1,45616,0.0823833742546475,3,7259.01541045559
"116",7042,2016,4,0,1,6,0,1,0,0,11563,0.0822450921041252,0,8078.9438640799
"117",7043,2016,8,0,1,5.5,1,0,0,1,10891,0.0942062253236617,3,13943.6040216551
"118",7044,2016,14,0,2,24,0,1,1,1,27734,0.0757914473209779,0,11660.6593433271
"119",7045,2016,9,0,1,2.5,0,1,0,0,5365,0.0887232059645853,0,11485.6073059361
"120",7046,2016,12,5,2,4.5,1,1,0,0,39367,0.143927655142632,0,12671.8789530018
"121",7047,2016,5,0,2,2,1,1,0,0.5,20991,0.058263065123148,0,9383.06685972234
"122",7048,2016,21,0,2,13,2,0,0,0.5,21250,0.105882352941176,6,20200.7590295312
"123",7049,2016,13,0,2,5,0,2,0,0.5,24597,0.0537057364719275,0,4441.10695895248
"124",7050,2016,6,0,1,3.5,0,0,0,1,4903,0.136039159698144,0,15720.5510976533
"125",7051,2016,37,16,3,4.32,1,0,2,0.333333333333333,48736,0.0971355876559422,18,14884.1530584155
"126",7052,2016,27,0,4,40,3,1,0,0.75,125088,0.0663532872857508,9,10726.2980026243
"127",7053,2016,4,0,1,2,1,0,0,1,7764,0.124291602266873,0,10636.191522763
"128",7054,2016,4,0,2,18,2,0,0,0.5,29772,0.111043933897622,3,14187.8216591155
"129",7055,2016,4,0,1,5,1,0,0,1,5885,0.106032285471538,0,18584.8404868674
"130",7057,2016,34,0,5,16,2,0,3,0.4,73737,0.0908770359521,24,10416.7248083107
"131",7059,2016,81,69,8,52.14,4,3,0,0.75,222896,0.0528587323235949,49,15308.1894745358
"132",7060,2016,7,0,1,12,1,0,0,1,12634,0.0735317397498813,0,5738.66257505003
"133",7061,2016,25,0,6,56,4,1,0,0.5,94112,0.0827737164229854,13,15943.8544574425
"134",7062,2016,11,0,2,10,1,1,0,1,18340,0.0834242093784078,6,13922.5520361991
"135",7063,2016,6,0,1,8,1,0,0,1,3660,0.0882513661202186,0,15865.0418181818
"136",7065,2016,451,14,7,75,7,0,0,1,121608,0.0687043615551608,90,19555.3439898471
"137",7066,2016,10,0,2,3,1,1,0,1,22295,0.0509979816102265,3,6326.99293748365
"138",7067,2016,7,0,1,12,0,1,0,1,12389,0.069497134554847,0,7585.61224489796
"139",7068,2016,4,0,4,14,2,2,0,0.5,31366,0.106261557100045,11,19215.9550390551
"140",7069,2016,42,0,3,30,3,0,0,1,54214,0.11974766665437,12,15148.888869156
"141",7070,2016,7,0,1,5,1,0,0,1,14305,0.0913666550157288,3,9531.41379310345
"142",7071,2016,9,0,2,27,2,0,0,1,29173,0.104480170020224,4,12042.2888437417
"143",7072,2016,8,0,1,14,0,1,0,1,32115,0.061124085318387,6,10062.4228822882
"144",7073,2016,6,0,1,3,0,1,0,0,9693,0.0755184153512844,4,11915.4127710364
"145",7074,2016,32,0,4,16,3,0,1,1,45983,0.0742448296109432,11,33572.3003420265
"146",7075,2016,8,0,1,18,0,1,0,1,28807,0.0881382997188183,3,10963.6589355141
"147",7076,2016,6,0,1,7,0,1,0,0,27268,0.0731993545547895,8,10427.9743109446
"148",7077,2016,7,0,1,14,1,0,0,0,64685,0.0748241477931514,5,14191.5421470487
"149",7078,2016,158,127,18,250,14,3,1,0.722222222222222,214326,0.0682138424642834,251,22735.5354975041
"150",7079,2016,11,0,2,3.5,2,0,0,1,40433,0.0804788168080528,3,18574.7417868116
