"","clave_mun","ingreso"
"713","15049",26406686
"714","15050",89801616
"715","15051",3829218057
"716","15052",54661399
"717","15053",332481912
"718","15054",1863751026
"719","15055",59728934
"720","15056",83817723
"721","15057",3840925647
"722","15058",8071104075
"723","15059",943822444
"724","15060",5803863997
"725","15061",31853232
"726","15062",348763603
"727","15063",88653336
"728","15064",86212501
"729","15065",85465936
"730","15066",5208940
"731","15067",254076379
"732","15068",75768563
"733","15069",19177939
"734","15070",2171567902
"735","15071",37326218
"736","15072",40542014
"737","15073",111695237
"738","15074",319774120
"739","15075",112710061
"740","15076",391732166
"741","15077",10470178
"742","15078",17944471
"743","15079",39318718
"744","15080",26086463
"745","15081",4375005525
"746","15082",164278142
"747","15083",40324257
"748","15084",109486614
"749","15085",116233302
"750","15086",70366933
"751","15087",280698257
"752","15088",310165588
"753","15089",28080562
"754","15090",214116612
"755","15091",1329192183
"756","15092",272675214
"757","15093",97628970
"758","15094",42152500
"759","15095",758265232
"760","15096",136578977
"761","15097",26562516
"762","15098",22242139
"763","15099",862246001
"764","15100",169878842
"765","15101",252590489
"766","15102",54137356
"767","15103",499104368
"768","15104",4848925621
"769","15105",34179814
"770","15106",3856804885
"771","15107",42084127
"772","15108",1112339243
"773","15109",11037264692
"774","15110",223111750
"775","15111",153761835
"776","15112",121760520
"777","15113",209421668
"778","15114",1185845707
"779","15115",150225236
"780","15116",11761927
"781","15117",19779070
"782","15118",633634152
"783","15119",23735284
"784","15120",2419352258
"785","15121",3681931635
"786","15122",3828043264
"787","15123",27823390
"788","15124",161367544
"789","15125",100338408
"790","16001",42266070
"791","16002",433395804
"792","16003",80442186
"793","16004",63824982
"794","16005",18220308
"795","16006",747574950
"796","16007",8017741
"797","16008",564527411
"798","16009",176825648
"799","16010",326733485
"800","16011",37345901
"801","16012",213369079
"802","16013",13633724
"803","16014",51204774
"804","16015",128378201
"805","16016",45679354
"806","16017",77002213
"807","16018",18820809
"808","16019",56933182
"809","16020",69043887
"810","16021",23470193
"811","16022",49635430
"812","16023",23658625
"813","16024",43118341
"814","16025",102032849
"815","16026",8471017
"816","16027",8084479
"817","16028",17189975
"818","16029",81029196
"819","16030",23416365
"820","16031",21804944
"821","16032",45907962
"822","16033",50158460
"823","16034",288322404
"824","16035",139460040
"825","16036",32603689
"826","16037",9681825
"827","16038",108331456
"828","16039",20997072
"829","16040",52835824
"830","16041",108067879
"831","16042",30719138
"832","16043",230233000
"833","16044",21324859
"834","16045",126626550
"835","16046",30794299
"836","16047",50858557
"837","16048",11446626
"838","16049",40539027
"839","16050",466510743
"840","16051",46039226
"841","16052",1106158491
"842","16053",4374851245
"843","16054",13736707
"844","16055",123883407
"845","16056",46359633
"846","16057",13599368
"847","16058",69484093
"848","16059",37971106
"849","16060",17806227
"850","16061",37106409
"851","16062",47699110
"852","16063",293006476
"853","16064",64895660
"854","16065",94227673
"855","16066",283078032
"856","16067",21841584
"857","16068",105497668
"858","16069",436008560
"859","16070",61559281
"860","16071",176936883
"861","16072",71901489
"862","16073",58261685
"863","16074",26924892
"864","16075",294438251
"865","16076",233329774
"866","16077",40924553
"867","16078",30738761
"868","16079",112499721
"869","16080",26808731
"870","16081",64897592
"871","16082",252999270
"872","16083",184887297
"873","16084",77312558
"874","16085",114366408
"875","16086",32175643
"876","16087",47978140
"877","16088",475041267
"878","16089",453956414
"879","16090",38270422
"880","16091",50701737
"881","16092",59036620
"882","16093",42434288
"883","16094",16324053
"884","16095",43404974
"885","16096",67511143
"886","16097",42164460
"887","16098",58617654
"888","16099",22769111
"889","16100",33844075
"890","16101",29059054
"891","16102",2619678239
"892","16103",69901177
"893","16104",36370587
"894","16105",51221351
"895","16106",103857829
"896","16107",209567036
"897","16108",629459761
"898","16109",13272022
"899","16110",106064525
"900","16111",61863040
"901","16112",439201979
"902","16113",40719815
"903","17001",39903463
"904","17002",123551153
"905","17003",68190152
"906","17004",236562157
"907","17005",18089961
"908","17006",641569868
"909","17007",3671702714
"910","17008",582694962
"911","17009",87608689
"912","17010",39158705
"913","17011",1235007173
"914","17012",204959603
"915","17013",36325755
"916","17014",18104236
"917","17015",34744539
"918","17016",30120420
"919","17017",100304177
"920","17018",446321646
"921","17019",50801747
"922","17020",303364608
"923","17021",16824174
"924","17022",27067145
"925","17023",15465511
"926","17024",145673624
"927","17025",86359096
"928","17026",49923745
"929","17027",29828282
"930","17028",244548115
"931","17029",353935494
"932","17030",673751777
"933","17031",331623802
"934","17032",21838757
"935","17033",37799851
"936","17034",26022026
"937","17035",68313483
"938","17036",11804023
"939","18001",75606625
"940","18002",48548738
"941","18003",38481836
"942","18004",290196618
"943","18005",13036162
"944","18006",88790152
"945","18007",52645581
"946","18008",366154398
"947","18009",551196751
"948","18010",55784303
"949","18011",73746133
"950","18012",126884251
"951","18013",32179353
"952","18014",59824302
"953","18015",248196939
"954","18016",73726046
"955","18017",2077039989
"956","18018",88977422
"957","18019",27166008
"958","18020",1264787874
"959","19001",9405502
"960","19002",9790679
"961","19003",3538274
"962","19004",136394935
"963","19005",91016538
"964","19006",5340744651
"965","19007",61146499
"966","19008",10648797
"967","19009",794481526
"968","19010",1824973246
"969","19011",24598575
"970","19012",976696963
"971","19013",32350669
"972","19014",105603829
"973","19015",2828888
"974","19016",9547220
"975","19017",103935415
"976","19018",3659714533
"977","19019",4588930216
"978","19020",19084017
"979","19021",4874020808
"980","19022",40184440
"981","19023",4945916
"982","19024",9545876
"983","19025",540627990
"984","19026",6008666023
"985","19027",3594260
"986","19028",4119744
"987","19029",20165104
"988","19030",5657097
"989","19031",4531035046
"990","19032",14212679
"991","19033",1799810073
"992","19034",21443183
"993","19035",5151103
"994","19036",5599884
"995","19037",19834880
"996","19038",302304585
"997","19039",22422871985
"998","19040",2531092
"999","19041",818307607
"1000","19042",13982480
"1001","19043",3759829
"1002","19044",140816462
"1003","19045",440729684
"1004","19046",4279686632
"1005","19047",125839403
"1006","19048",2908931183
"1007","19049",1247868400
"1008","19050",10589014
"1009","19051",12011089
"1010","20001",181170
"1011","20002",62342452
"1012","20003",1856605
"1013","20004",1523239
