clave_mun,staff,presupparcial,light,waste,poli,tax,pobtot2018,P60,ingpc2015,salmed,compstaff,pcollege,progtot,capreg,pagemed,pageold,ptemp,Estado,party,pct_muj,rural,semirural,urbsmall,urbmed,indice_marg,Partido,Ali
5020,695,127856823,6397,73,2206,0.104017912,70666,0.126142699,25427.66537,108430.5683,0.122302158,0,2,0,0.322302158,0.464748201,0,5,PRI,0.392805755,0,0,1,0,-1.34,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5021,155,30049846,920,1,643,0.04260206,6495,0.137028483,26505.53407,106102.8,0.24516129,0.212903226,7,0,0.258064516,0.425806452,0,5,PRI,0.348387097,0,1,0,0,-1.106,PRI,TRUE
5022,293,97724969,2066,20,1399,0.15851214,32088,0.09193468,28389.55535,170889.2491,0.163822526,0.187713311,19,0,0.365187713,0.351535836,0,5,PRI,0.293515358,0,0,1,0,-1.401,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5025,1157,464194382,14780,120,28466,0.130603916,171622,0.092540583,30873.42646,144093.7269,0.251512532,0.194468453,13,1,0.348314607,0.295592048,0.28781331,5,PRI,0.265100671,0,0,0,1,-1.531,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5027,616,405827692,9824,60,4843,0.321097891,112885,0.06021172,41881.31582,186809.9399,0.201298701,0.316558442,15,1,0.391233766,0.237012987,0,5,PRI,0.311688312,0,0,0,1,-1.73,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5028,560,151302014,6100,80,2127,0.081028505,64015,0.12065922,34582.86055,151111.0429,0.214285714,0.075,0,0,0.839285714,0.160714286,0,5,PANC,0.353571429,0,0,1,0,-1.678,PAN-UDDC-PPC-PES,FALSE
5030,4543,1861209377,62299,750,26126,0.207386017,848995,0.097349219,39211.09704,215287.716,0.35263042,0.291217257,12,0,0.413603346,0.251155624,0.116883117,5,PRI,0.295666046,0,0,0,0,-1.823,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5031,204,70922566,2350,20,1907,0.061591129,24237,0.131369394,31319.26495,154588.4902,0.210784314,0,1,0,0.681372549,0.18627451,0.009803922,5,PRI,0.416666667,0,0,1,0,-1.76,PRI,TRUE
5032,489,89814925,6600,45,2829,0.082393516,42137,0.156821796,29569.24221,101728.6155,0.040899796,0.18609407,0,0,0.329243354,0.382413088,0,5,PANC,0.280163599,0,0,1,0,-1.61,PAN-UDDC-PPC-PES,FALSE
5033,1011,185961296,6782,144,8775,0.067726463,101362,0.121199266,17183.49641,96927.99901,0.09297725,0.045499505,14,0,0.411473788,0.337289812,0,5,PRI,0.429054054,0,0,0,1,-0.823,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5035,3455,1651432762,70678,620,162180,0.174820342,704605,0.115290127,35138.13594,229579.644,0.275253256,0.145296671,15,1,0.405788712,0.284515195,0,5,PANC,0.313147668,0,0,0,0,-1.722,PAN-UDDC-PPC-PES,FALSE
5036,413,40430892,2180,6,30,0.008552301,20511,0.121788309,15037.02748,54231.43341,0.113801453,0.065375303,8,0,0.271186441,0.549636804,0,5,PRI,0.452685422,0,0,1,0,-0.38,PRI,TRUE
5037,121,19017167,645,8,695,0.07579815,6209,0.124496698,20124.59812,110844.843,0.181818182,0.049586777,0,0,0.396694215,0.26446281,0,5,PRI,0.305785124,0,1,0,0,-1.186,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5038,263,34337266,1332,9,229,0.127527184,13046,0.133067607,27443.45193,90823.46388,0.163498099,0.106463878,17,1,0.368821293,0.380228137,0,5,PRI,0.372623574,0,1,0,0,-1.261,PRI,TRUE
6001,340,63427226,3149,25,1032,0.057292679,27839,0.137181652,20993.41133,197112.1529,0.185294118,0.170588235,14,0,0.347058824,0.411764706,0.114705882,6,PRI,0.264705882,0,0,1,0,-0.481,PVEM,TRUE
6002,1737,378494067,17625,170,26587,0.188025115,155016,0.152035919,41662.29771,194057.6736,0.221646517,0.286701209,19,0,0.463442717,0.260794473,0.01324122,6,PAN,0.29980405,0,0,0,1,-1.595,PAN,FALSE
6003,386,82439207,2424,18,1025,0.058471721,21504,0.143415179,27860.98795,154316.3808,0.189119171,0.176165803,15,0,0.349740933,0.365284974,0.051813472,6,PRI,0.273775216,0,0,1,0,-0.873,PRI,TRUE
6004,237,54405161,960,20,1870,0.048337957,20545,0.136967632,25822.58414,237989.9494,0.303797468,0.265822785,14,0,0.4092827,0.303797468,0.075949367,6,PAN,0.314285714,0,0,1,0,-0.952,PAN,FALSE
6005,434,75116617,2944,22,528,0.107255841,30435,0.149827501,28730.88065,165664.0161,0.235023041,0.198156682,13,1,0.430875576,0.368663594,0.023041475,6,PAN,0.396226415,0,0,1,0,-1.285,PAN,FALSE
6006,275,60105647,987,5,112,0.01334041,5556,0.156227502,20770.69255,179953.5927,0.254545455,0.083636364,9,0,0.327272727,0.290909091,0,6,PRI,0.30875576,0,1,0,0,-0.261,PRI,TRUE
6007,1704,524958737,17301,224,5906,0.198120412,185108,0.099547291,40665.70722,333980.6778,0.198356808,0.21185446,0,0,0.449530516,0.251760563,0.020539906,6,PRI,0.301461632,0,0,0,1,-1.509,PVEM,TRUE
6008,131,78744395,1361,5,309,0.082164712,9822,0.113927917,25673.15558,446629.4427,0.442748092,0.27480916,13,0,0.801526718,0.083969466,0.213740458,6,PRI,0.439655172,0,1,0,0,-0.762,PVEM,TRUE
6009,755,254577819,7346,165,7336,0.09746653,115590,0.107414136,24580.08392,257147.2026,0.177483444,0.177483444,0,0,0.511258278,0.161589404,0.170860927,6,PAN,0.218683652,0,0,0,1,-0.716,PAN,FALSE
6010,1135,225776799,12522,139,5280,0.168243955,143804,0.09944786,44770.50743,227344.4317,0.192951542,0.226431718,0,0,0.577973568,0.166519824,0.096035242,6,PAN,0.292051756,0,0,0,1,-1.801,PAN,FALSE
7015,606,111478592,1100,32,90,0.013683575,48851,0.109393871,12293.88767,56254.39769,0.089108911,0.150165017,0,0,0.4669967,0.090759076,0,7,PRI,0.369068541,0,0,1,0,0.092,PVEM-PNA,TRUE
7019,1133,360711068,6700,145,794,0.086458801,161141,0.093613668,19495.7963,106204.3998,0.231244484,0.236540159,0,0,0.455428067,0.120917917,0,7,PRI,0.239325843,0,0,0,1,-0.235,PRI,TRUE
7027,726,242534794,4290,65,394,0.065699365,107179,0.090474813,21132.79924,69206.00689,0.190082645,0.316804408,0,1,0.399449036,0.261707989,0.374655647,7,PRI,0.262237762,0,0,0,1,-0.198,PRI,TRUE
7029,84,43250825,250,6,8,7.36E-04,5322,0.102029312,21184.77771,75745.66667,0.285714286,0.154761905,0,0,0.523809524,0.083333333,0,7,LEFT,0.194444444,0,1,0,0,-0.022,MORENA,FALSE
7032,291,98846669,820,16,509,0.009123804,30732,0.112228296,13110.08844,76315.75945,0.288659794,0.206185567,4,0,0.316151203,0.24742268,0.371134021,7,PRI,0.323404255,0,0,1,0,0.314,PRI,TRUE
7037,235,89263508,1564,25,115,0.017990536,35756,0.109939591,16342.47591,89595.49362,0.293617021,0.553191489,6,0,0.280851064,0.008510638,0,7,PRI,0.327659574,0,0,1,0,0.513,PVEM-PNA,TRUE
7040,630,153215224,2360,27,987,0.053048117,52863,0.110966082,16544.06496,68602.16508,0.101587302,0.126984127,0,0,0.073015873,0,0,7,Other,0.384615385,0,0,1,0,0.141,PCHU,FALSE
7041,190,178271533,350,1,73,0.001069214,45378,0.085658248,7259.01541,71358.95789,0.305263158,0.210526316,7,0,0.526315789,0.036842105,0,7,PRI,0.117283951,0,0,1,0,0.515,PVEM-PNA,TRUE
7043,144,35644939,370,4,185,0.009945451,10800,0.096018519,13943.60402,74296.24306,0.145833333,0.263888889,0,0,0.416666667,0.048611111,0.888888889,7,PRI,0.263888889,0,1,0,0,0.596,PRI,TRUE
7050,145,37078015,141,4,50,0.016278492,5182,0.156310305,15720.5511,37887.02759,0.15862069,0.372413793,11,0,0.427586207,0.213793103,0.124137931,7,Other,0.198347107,0,1,0,0,0.323,PCHU,FALSE
7054,269,73795128,390,24,515,0.026615796,27917,0.118028441,14187.82166,87711.26766,0.048327138,0.17472119,0,0,0.472118959,0.12267658,0,7,PRI,0.294871795,0,0,1,0,0.822,PVEM-PNA,TRUE
