"","folio","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","POBTOT","P60","hoteles","ingpc2015"
"2863",20409,2020,9,3,4.5,"pub",0,1,1,0,1,1,0,1,8939,0.154715292538315,0,37386.9211119459
"2864",20413,2020,120,8,51,"pub",0,4,4,0,0,2,0,1,50862,0.0790177342613346,137,31313.7549262303
"2865",20414,2020,2,1,4.4,"pub",0,1,0,0,0,1,1,0,11995,0.14722801167153,0,14974.2482899141
"2866",20415,2020,3,1,2,"pub",0,1,0,0,0,1,0,1,4878,0.140426404264043,0,13679.7007125891
"2867",20417,2020,7,1,6,"pub",0,1,0,0,0,1,0,1,9682,0.138814294567238,0,11833.6423690205
"2868",20418,2020,3,3,3.53,"pub",0,0,3,0,0,1,1,0,11735,0.164720920323818,0,22108.9996011169
"2869",20421,2020,7,2,2.5,"pub",0,2,0,0,0,1,1,0,4690,0.164818763326226,0,20955.2807692308
"2870",20437,2020,16,1,1.333,"pub",0,0,0,1,0,1,1,0,9653,0.137573811250388,3,15242.187088274
"2871",20439,2020,14,3,9,"pub",0,2,1,0,0,1,0.666666666666667,0,25347,0.0986704540971318,83,15885.5106253795
"2872",20441,2020,5,11,5,"pub",0,0,0,1,10,1,1,0,9234,0.0870695256660169,0,18365.19547928
"2873",20447,2020,6,1,4,"pub",0,0,1,0,0,1,0,0,17100,0.128479532163743,3,13879.945267959
"2874",20452,2020,6,1,1.85,"pub",0,0,0,1,0,1,0,1,4421,0.170775842569554,0,10719.0274989088
"2875",20456,2020,2,1,1,"pub",0,0,0,1,0,1,0,1,1667,0.182363527294541,0,15133.0285714286
"2876",20459,2020,3,1,1,"pub",0,1,0,0,0,1,0,1,4877,0.251999179823662,0,15869.9669421488
"2877",20462,2020,5,1,1.714,"pub",0,1,0,0,0,1,1,0,4600,0.155652173913043,0,17804.6276803119
"2878",20467,2020,7,3,3.6,"pub",0,3,0,0,0,1,0.333333333333333,0.333333333333333,19112,0.139179573043114,11,17448.0557077626
"2879",20469,2020,25,3,3,"pub",0,2,0,1,0,1,0,0,34735,0.117518353246005,10,15296.8218103098
"2880",20472,2020,5,3,1,"pub",0,0,1,1,1,1,0.666666666666667,0.333333333333333,3361,0.197560249925617,0,22418.1704347826
"2881",20475,2020,3,1,1,"pub",0,1,0,0,0,1,1,0,10175,0.145061425061425,0,12923.0967741935
"2882",20482,2020,65,6,25,"pub",0,5,1,0,0,1,0.5,0,55840,0.113019340974212,22,21194.0174230715
"2883",20483,2020,3,1,1,"pub",0,1,0,0,0,1,1,0,10886,0.123828770898402,0,20405.0898914139
"2884",20486,2020,2,1,1,"pub",0,0,1,0,0,1,0,1,2419,0.166184373708144,0,13770.433460076
"2885",20497,2020,3,1,1.8,"pub",0,0,0,1,0,1,0,1,4233,0.110796125679187,0,11239.9127320091
