clave_municipio,INGTRHOG_EXP,NUMPERS_EXP,ingpc2015
16026,3397604,1867,21837.84038564542
16027,2016042,1762,13730.138479001136
16028,4135971,3054,16251.359528487228
16029,12308216,10270,14381.557156767283
16030,46352150,7819,71137.71582043738
16031,10695627,8396,15286.746545974274
16032,16150962,12576,15411.223282442748
16033,29466634,17790,19876.312984822936
16034,145374162,99048,17612.571117034164
16035,34707256,25006,16655.48556346477
16036,13684684,8931,18387.213973799124
16037,4394830,3613,14596.722944921119
16038,44432597,26244,20316.688157293094
16039,9700687,6951,16746.97798877859
16040,18152266,13773,15815.522544108037
16041,14837518,12470,14278.285164394547
16042,17299786,9500,21852.361263157894
16043,138784353,61550,27057.87548334687
16044,9887925,7469,15886.343553353861
16045,52644489,26268,24049.56098675194
16046,13048472,10650,14702.50366197183
16047,17179230,15669,13156.599655370475
16048,5845961,4116,17043.61807580175
16049,14818094,12044,14763.959481899703
16050,95789009,69090,16637.25731654364
16051,26854879,11488,28051.753830083566
16052,469602941,161625,34866.111628770304
16053,1809035139,670842,32359.9620596206
16054,4396498,3295,16011.525341426404
16055,76163190,39348,23227.566331198534
16056,20868237,20642,12131.520395310532
16057,6048718,4183,17352.286875448244
16058,31261587,18036,20799.45908183633
16059,8960661,6144,17501.291015625
16060,10627586,7545,16902.721272365805
16061,20169325,17890,13528.893236444941
16062,20933628,14997,16750.2524504901
16063,10702335,9561,13432.488233448383
16064,33268445,22508,17736.86422605296
16065,41631008,28274,17668.957204498834
16066,128253092,78621,19575.39466554737
16067,10152583,9055,13454.555052457206
16068,47042388,21479,26281.887238698262
16069,189826863,86034,26477.001604017016
16070,22367586,12620,21268.7030110935
16071,67001832,44523,18058.576106731354
16072,14683647,10764,16369.729096989968
16073,33657669,23703,17039.700797367423
16074,11461611,8000,17192.4165
16075,128424345,57681,26717.500390076457
16076,139197324,68672,24323.856710158434
16077,14436657,10898,15896.48412552762
16078,10702224,8460,15180.459574468086
16079,48134032,38812,14882.211274863446
16080,15587034,12501,14962.355651547878
16081,3178813,3928,9711.24134419552
16082,123202688,66239,22319.664487688522
16083,44433520,24514,21750.927633189196
16084,31975589,23466,16351.618000511378
16085,51114360,27248,22510.728126834998
16086,23788154,11665,24471.31144449207
16087,22780965,12347,22140.728922005343
16088,182918596,84420,26001.221890547266
16089,41491607,19830,25108.38547655068
16090,18676270,12208,18358.06356487549
16091,21826676,11617,22546.278040802274
16092,9174900,6615,16643.809523809523
16093,24899472,20744,14403.859622059392
16094,6152157,4249,17374.88444339845
16095,17612700,8877,23808.989523487664
16096,4264527,3452,14824.543453070683
16097,24249711,18032,16137.784605146408
16098,27808902,20019,16669.505170088414
16099,10391474,8027,15534.781113741123
16100,16446687,11516,17137.916290378605
16101,4331975,3848,13509.277546777546
16102,635885024,287926,26502.018879851075
16103,33230769,18764,21251.824131315283
16104,15718490,11081,17022.099088529918
16105,23387769,14381,19515.557193519227
16106,34181740,22382,18326.372978286123
16107,99845462,58365,20528.49385762015
16108,389042826,173505,26907.085743926687
16109,3123334,1950,19220.516923076924
16110,50874367,35737,17082.922573243417
16111,26887834,14768,21848.185807150596
16112,210700271,125282,20181.696109576795
16113,18610665,14950,14938.326421404681
17001,23405776,14219,19753.09881144947
17002,36139554,18266,23742.1793496113
17003,39258808,29734,15844.006726306583
17004,119214616,69158,20685.609647473902
17005,11968182,7843,18311.63891368099
17006,397571609,176056,27098.532898623165
17007,1040272191,308686,40440.014422422784
17008,212505384,89138,28608.05277210617
17009,35349044,16953,25021.44328437445
17010,22981285,14316,19263.440905280804
17011,522134808,194992,32132.691064248793
17012,108706465,49400,26406.428744939272
17013,21380400,12526,20482.58023311512
17014,16035140,8631,22294.250955856794
17015,33186301,21905,18180.12380734992
17016,18911042,14496,15654.836092715232
17017,94541130,55374,20487.838335681005
17018,203145933,100217,24324.727301755192
17019,27303846,20773,15772.693014971357
17020,91106659,40747,26830.930080742142
17021,11298302,6123,22142.679078882902
17022,19146580,17066,13462.964959568733
17023,8702215,6320,16523.193037974685
17024,76645303,42880,21449.245242537312
17025,52238441,27554,22750.282790157507
17026,26930790,15781,20478.390469551992
17027,15581053,9804,19071.056303549572
17028,123499713,60689,24419.52505396365
17029,187142876,90646,24774.55720053836
17030,86207954,48212,21457.219115572887
17031,69621648,30274,27596.61016053379
17032,12267441,7836,18786.280245022972
17033,19533158,13836,16941.1604509974
18001,51771816,29344,21171.680479825518
18002,25537901,12889,23776.461478780355
18003,14785300,8145,21783.130755064456
18004,138089053,63521,26086.94189323216
18005,5368771,5146,12519.481539059463
18006,51750805,24174,25689.15611814346
18007,18047256,12652,17117.220360417326
18008,143980452,50561,34171.89976464073
18009,9805971,9860,11934.24462474645
18010,38719473,25732,18056.6483755635
18011,26215438,17781,17692.21393622406
18012,65568117,36396,21618.23837784372
18013,10011967,5659,21230.5361371267
18014,31135206,17971,20790.299482499584
18015,161038913,79944,24172.75788051636
18016,47967693,29210,19706.00191715166
18017,1080190878,365946,35421.32045711662
18018,45230572,24996,21714.14882381181
18019,5889312,4860,14541.511111111111
18020,404865120,136423,35612.62719629388
19001,5773413,2302,30095.984361424846
19002,2951568,1443,24545.264033264033
19003,1687172,695,29131.027338129497
19004,87988987,28249,37377.175970830824
19005,31430366,15281,24681.918199070744
19006,1837443897,544753,40475.82439013645
19007,12479187,8433,17757.64781216649
19008,6208891,3233,23045.68264769564
19009,233232043,75983,36834.35131542582
19010,84939204,34395,29634.262189271692
19011,14867652,6044,29518.832561217736
19012,98148824,39329,29947.008263622265
19013,23304410,8174,34212.493271348176
19014,29823063,18207,19655.998022738506
19015,2603450,1186,26341.821247892076
19016,4322093,2091,24803.977044476327
19017,34760245,22701,18374.650455927054
19018,632243849,221135,34309.024749587355
19019,949396362,89432,127390.15502281064
19020,11871136,3896,36564.073921971256
19021,1283525041,383846,40126.24982935865
19022,25866798,11006,28202.941668180993
19023,1450474,653,26654.958652373658
19024,4347175,2792,18684.13323782235
19025,138027140,60689,27292.02458435631
19026,2163014537,598919,43338.3720402926
19027,2063559,997,24837.21965897693
19028,3236391,1316,29511.164133738603
19029,10387709,4896,25460.071078431374
19030,3618378,2245,19340.995991091313
19031,813525640,307447,31752.814891672384
19032,8738296,4184,25062.034416826005
19033,124471110,62173,24024.147459508145
19034,12842765,5089,30283.58813126351
19035,1605457,653,29503.038284839204
19036,2815892,2975,11358.219831932773
19037,8099445,3890,24985.434447300773
19038,136110036,50726,32198.88088948468
19039,4156435220,938735,53132.37776369263
19040,1652968,710,27937.48732394366
19041,190826321,78104,29318.803800061458
19042,6141974,3017,24429.46237984753
19043,2268565,1705,15966.439882697947
19044,77166716,29754,31121.885864085503
19045,119839292,48033,29939.2397726563
19046,1481629631,356609,49857.282267132905
19047,32428601,11949,32567.010795882503
19048,997779831,268576,44580.89319969022
19049,125695910,34238,44054.87820550266
19050,2472153,1224,24236.794117647056
19051,6213465,3104,24021.12757731959
20001,83714,119,8441.747899159665
20002,46009778,35113,15724.0149232478
20003,741687,907,9812.837927232635
20004,829720,655,15200.97709923664
20005,22492684,10326,26139.08657757118
20006,23486337,14067,20035.262955854127
20007,666671,721,11095.772538141471
20008,208775,173,14481.502890173411
20009,2050324,2151,11438.348675034867
20010,22566058,9911,27322.43930985773
20011,362493,468,9294.692307692307
20012,6165990,6469,11437.916215798423
20013,2814844,1908,17703.4213836478
20014,55466227,24153,27557.434852813316
20015,661116,1117,7102.410026857654
20016,488084,1028,5697.478599221789
20017,951873,1608,7103.5298507462685
20018,329563,396,9986.757575757576
20019,664372,840,9491.028571428571
20020,2194694,1824,14438.776315789473
20021,19594355,13882,16937.92393026941
20022,239162,250,11479.776
20023,34077091,18439,22177.18379521666
20024,767031,914,10070.42888402626
20025,17004183,9733,20964.779204767285
20026,4968177,4857,12274.680667078443
20027,995930,1186,10076.863406408094
