"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"1790",21211,16752,1924,11487
"1791",21212,20717,2339,4597
"1792",21213,11967,1569,NA
"1793",21214,18359,1936,17918
"1794",21215,4539,726,4229
"1795",21216,2452,474,NA
"1796",21217,20335,2522,8746
"1797",22001,66841,6767,11585
"1798",22002,27365,3261,NA
"1799",22003,13142,2159,2671
"1800",22004,69075,7040,20973
"1801",22005,67121,5575,30127
"1802",22006,212567,23173,192192
"1803",22007,45141,4181,27607
"1804",22008,36808,3573,8095
"1805",22009,27343,3219,13950
"1806",22010,18794,2964,NA
"1807",22011,231668,15226,177073
"1808",22012,77404,6677,62445
"1809",22013,19141,2463,NA
"1810",22014,1049777,111790,1002636
"1811",22015,8359,894,NA
"1812",22016,297804,29971,247158
"1813",22017,72201,8455,60053
"1814",22018,27916,2834,13295
"1815",23001,88626,7818,84519
"1816",23002,83990,7946,47727
"1817",23003,22686,1670,19842
"1818",23004,233648,25741,186858
"1819",23005,911503,59313,908586
"1820",23006,39165,3935,16241
"1821",23007,29171,2779,8135
"1822",23008,333800,13105,327820
"1823",23009,46721,2221,33374
"1824",23010,41754,4265,17923
"1825",23011,26921,2259,26233
"1826",24001,18974,2567,5249
"1827",24002,7785,1395,NA
"1828",24003,48359,5755,3366
"1829",24004,4013,894,NA
"1830",24005,18317,3101,15341
"1831",24006,9579,1516,NA
"1832",24007,19840,2438,12807
"1833",24008,22075,3927,15692
"1834",24009,5050,651,NA
"1835",24010,30320,4651,13552
"1836",24011,48106,6427,36275
"1837",24012,20300,3026,2698
"1838",24013,179371,25169,136351
"1839",24014,15660,2923,NA
"1840",24015,21814,3200,14117
"1841",24016,40899,6321,34073
"1842",24017,25119,4321,NA
"1843",24018,15334,2132,NA
"1844",24019,5453,1337,NA
"1845",24020,102199,12207,86686
"1846",24021,58469,6674,3628
"1847",24022,19036,2749,5240
"1848",24023,15301,2977,6240
"1849",24024,97943,14675,58158
"1850",24025,31107,3434,18586
"1851",24026,9382,1386,NA
"1852",24027,10215,2028,7361
"1853",24028,911908,109783,874911
"1854",24029,18468,4063,2672
"1855",24030,4779,1307,NA
"1856",24031,12163,1494,NA
"1857",24032,39880,5200,14340
"1858",24033,10785,1863,NA
"1859",24034,14945,2275,6731
"1860",24035,332072,29188,319833
"1861",24036,29184,4472,12237
"1862",24037,95037,12714,30001
"1863",24038,14348,2711,NA
"1864",24039,13603,2090,3076
"1865",24040,36968,5395,20019
"1866",24041,18208,2519,NA
"1867",24042,13448,2193,9458
"1868",24043,7966,1404,4960
"1869",24044,7557,1013,NA
"1870",24045,14188,2459,6385
"1871",24046,18206,2049,6126
"1872",24047,9277,1710,NA
"1873",24048,5298,719,3701
"1874",24049,38389,4481,26280
"1875",24050,52912,4952,21707
"1876",24051,15458,2642,3087
"1877",24052,10304,2055,3488
"1878",24053,32544,4844,8045
"1879",24054,49741,7031,6644
"1880",24055,27386,2602,11425
"1881",24056,17258,1830,8464
"1882",24057,28996,3930,6735
"1883",24058,20959,2730,11061
"1884",25001,459310,59353,374888
"1885",25002,44093,7894,17792
"1886",25003,26542,3702,4194
"1887",25004,24899,4356,9864
"1888",25005,17012,2166,7888
"1889",25006,1003530,111713,887536
"1890",25007,29334,4594,10328
"1891",25008,55339,5469,27447
"1892",25009,59988,8139,46667
"1893",25010,96593,14920,38990
"1894",25011,289370,42538,187646
"1895",25012,501441,66475,474212
"1896",25013,40358,8244,12170
"1897",25014,52345,8332,21438
"1898",25015,79492,11584,70431
"1899",25016,19505,3558,8460
"1900",25017,78670,12735,14602
"1901",25018,149122,17747,91837
